Site,Hole,Core,Core Type,Section,Interval (cm),Depth (CSF-A),Depth (CCSF), Sample_ID ,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ni_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Al/Ca,ln(Al/Ca),ln(Al/Ca) predicted,Si/Ca,ln(Si/Ca),ln(Si/Ca) predicted,K/Ca,ln(K/Ca),ln(K/Ca) predicted,Ti/Ca,ln(Ti/Ca),ln(Ti/Ca) predicted,Mn/Ca,ln(Mn/Ca),ln(Mn/Ca) predicted,Fe/Ca,ln(Fe/Ca),ln(Fe/Ca) predicted,Ni/Ca,ln(Ni/Ca),ln(Ni/Ca) predicted,Zn/Ca,ln(Zn/Ca),ln(Zn/Ca) predicted,Br/Ca,ln(Br/Ca),ln(Br/Ca) predicted,Rb/Ca,ln(Rb/Ca),ln(Rb/Ca) predicted,Sr/Ca,ln(Sr/Ca),ln(Sr/Ca) predicted,Zr/Ca,ln(Zr/Ca),ln(Zr/Ca) predicted,Cl/Ca,ln(Cl/Ca),Cu/Ca,ln(Cu/Ca),ln(Cu/Ca) predicted
U1456,A,2,H,1,4,4.54,6.06,40,1091,57916,-5494,-1275,122914,-41431,5356,1068409,15132,23,493,196162,96908,629,50,155,59,951,880,98044,-781,5385,9,14,118,43,0.001021145,-6.886831198,-2.010896057,0.054207705,-2.91493222,-0.972190487,0.005013061,-5.295708477,-3.247689803,0.014163115,-4.257114198,-4.42414776,0.000461434,-7.68117201,-5.987057258,0.183601973,-1.694985057,-2.051294893,0.000588726,-7.437549927,-8.406325161,0.000145076,-8.838256067,-7.865157165,0.000890109,-7.024167121,-8.127977676,0.000823655,-7.101759277,-8.078177576,0.091766355,-2.388509548,-4.029078629,0.005040205,-5.290308594,-7.646080864,0.115043958,-2.162440981,4.67986E-05,-9.969658179,-9.122310168
U1456,A,2,H,1,6,4.56,6.08,60,1347,58912,-4919,-1701,122886,-33351,8569,1102856,15112,312,708,199787,72625,606,74,319,97,1020,737,86826,-303,5450,154,86,115,24,0.001221374,-6.70777856,-1.933205117,0.053417672,-2.929613653,-0.984756325,0.007769827,-4.857507418,-3.049579104,0.013702605,-4.290169327,-4.441561202,0.00064197,-7.350969643,-5.853721542,0.181154203,-1.708406659,-2.061719452,0.000549482,-7.506533751,-8.466996434,0.000289249,-8.148222634,-7.382892799,0.000924871,-6.98585583,-8.106136409,0.000668265,-7.310825844,-8.214551698,0.07872832,-2.541752342,-4.149925897,0.004941715,-5.310042849,-7.66397786,0.111425245,-2.194401361,6.70985E-05,-9.609348643,-8.878993139
U1456,A,2,H,1,8,4.58,6.1,80,1157,56054,-4769,-2886,108481,-43674,4111,1232058,11516,-134,218,171930,84549,601,63,283,79,1082,775,107874,-626,6498,1,-68,105,40,0.000939079,-6.970610773,-2.047248014,0.045496235,-3.090125709,-1.122138594,0.003336694,-5.702774913,-3.431724538,0.009346963,-4.672703848,-4.643080387,0.00017694,-8.639701437,-6.37411144,0.139547002,-1.969353804,-2.264397099,0.000487802,-7.625601565,-8.571716577,0.000229697,-8.378749602,-7.544008097,0.000878205,-7.03763004,-8.135652886,0.000629029,-7.371333471,-8.254020823,0.087555943,-2.435477342,-4.066117432,0.005274102,-5.244946784,-7.604942238,0.088048615,-2.429866178,5.1134E-05,-9.881061773,-9.062481016
U1456,A,2,H,1,10,4.6,6.12,100,2030,52053,-4930,59,167125,-4980,14811,880959,16902,464,730,216431,40358,596,37,241,55,1076,1019,69949,-317,5644,342,299,100,8,0.002304307,-6.072975294,-1.65776398,0.059086745,-2.828748657,-0.898425975,0.01681236,-4.085640939,-2.700618268,0.01918591,-3.953579129,-4.264245485,0.000828642,-7.095721832,-5.750652476,0.245676587,-1.403739297,-1.825084312,0.000676535,-7.298525699,-8.284053352,0.000273566,-8.203969432,-7.421854236,0.001221396,-6.707760625,-7.947594332,0.001156694,-6.762189333,-7.856676102,0.079400971,-2.533244682,-4.143216756,0.006406655,-5.050418053,-7.428524132,0.189708034,-1.662269051,4.19997E-05,-10.07784845,-9.19537106
U1456,A,2,H,1,12,4.62,6.14,120,3593,71832,-4813,-1456,135983,-30574,21316,1034775,14682,1,237,253888,61906,685,86,278,76,1211,1082,88006,-585,4915,-11,130,62,82,0.003472252,-5.662951783,-1.479854778,0.069417989,-2.667609232,-0.760506741,0.020599647,-3.882481326,-2.608769808,0.014188592,-4.255317037,-4.423201015,0.000229035,-8.381634429,-6.269903982,0.245355754,-1.405046066,-1.826099279,0.00066198,-7.320275731,-8.303182506,0.000268657,-8.222073456,-7.434507138,0.001170303,-6.750492826,-7.97195596,0.001045638,-6.86312811,-7.922518466,0.08504844,-2.464534297,-4.089031746,0.004749825,-5.349647537,-7.699895351,0.131413109,-2.029409413,8.31099E-05,-9.395347273,-8.734478014
U1456,A,2,H,1,14,4.64,6.16,140,4554,79857,-3252,-1144,125653,-24099,31021,816002,17325,816,829,291642,50933,592,72,346,88,1173,1477,39781,32,3807,126,218,105,37,0.005580869,-5.188410838,-1.273951463,0.097863731,-2.324179271,-0.466565038,0.038015838,-3.269752411,-2.331755065,0.021231566,-3.852266261,-4.210873866,0.001015929,-6.89195193,-5.668370189,0.357403536,-1.028889783,-1.533938695,0.000725488,-7.22866545,-8.222611263,0.000424019,-7.76573331,-7.11557101,0.001437496,-6.544852236,-7.85472026,0.001810045,-6.314403802,-7.5645856,0.048751106,-3.021027395,-4.527882203,0.00466543,-5.367575329,-7.716154065,0.153986142,-1.870892666,8.82351E-05,-9.335505966,-8.694067179
U1456,A,2,H,1,16,4.66,6.18,160,4617,75058,-3674,-314,140958,-11552,29856,804724,16328,365,469,290286,42734,671,79,387,66,1158,1513,42634,44,3979,282,300,99,29,0.005737371,-5.160754218,-1.261951255,0.09327173,-2.372238213,-0.507698687,0.037100919,-3.294113537,-2.34276873,0.020290186,-3.897617936,-4.234765129,0.000582809,-7.447651872,-5.892761826,0.360727405,-1.019632718,-1.526748732,0.000833826,-7.089485503,-8.1002025,0.00048091,-7.639829947,-7.02757715,0.001439003,-6.543804982,-7.85412322,0.001880148,-6.276404927,-7.539798934,0.052979655,-2.937847304,-4.462286384,0.004944552,-5.30946883,-7.663457282,0.175163162,-1.742037388,9.81703E-05,-9.228806788,-8.622013224
U1456,A,2,H,1,18,4.68,6.2,180,4501,81650,-3767,-1567,116974,-30503,27565,932755,17841,1034,131,290417,66603,631,110,347,52,1210,1457,54530,-125,4634,260,213,113,20,0.00482549,-5.333842978,-1.337054468,0.087536384,-2.435700753,-0.562016275,0.02955224,-3.521595721,-2.445613425,0.019127209,-3.956643393,-4.26585974,0.000140444,-8.870700528,-6.467388873,0.311354,-1.166824751,-1.641072784,0.000676491,-7.298591989,-8.284111654,0.000372016,-7.896573072,-7.20701492,0.001297232,-6.647522213,-7.913252414,0.001562039,-6.461763045,-7.660708034,0.058461225,-2.839391564,-4.384644187,0.004968078,-5.304722147,-7.659152515,0.125406993,-2.076190885,0.00011793,-9.045417486,-8.498170428
U1456,A,2,H,1,20,4.7,6.22,200,4380,89894,-3809,-2255,92054,-47165,21126,1124719,17305,297,743,255673,84000,640,36,269,76,994,1118,81128,-370,5597,107,176,147,16,0.003894306,-5.548239781,-1.430081241,0.079925741,-2.526657307,-0.639865989,0.018783358,-3.974783996,-2.650499845,0.015386065,-4.174293029,-4.380517567,0.000660609,-7.32234774,-5.842164017,0.227321669,-1.481389221,-1.885395008,0.000569031,-7.471575608,-8.436250747,0.000239171,-8.338332405,-7.515760518,0.000883776,-7.031306578,-8.13204788,0.000994026,-6.913747131,-7.955537254,0.072131795,-2.629260351,-4.218934713,0.004976354,-5.303057766,-7.657643088,0.081846221,-2.502913144,3.2008E-05,-10.34952485,-9.378834129
U1456,A,2,H,1,22,4.72,6.24,220,3116,67597,-5915,-2171,104282,-45755,13769,1263719,10427,-197,179,249132,90000,630,72,242,85,1400,1162,105580,-655,4455,-78,-40,149,15,0.002465738,-6.005264112,-1.628384098,0.053490531,-2.928250636,-0.98358972,0.010895618,-4.519394551,-2.896718277,0.008251043,-4.797415644,-4.708778561,0.000141645,-8.862183713,-6.463949783,0.197141928,-1.623831363,-1.99602982,0.000498529,-7.603849699,-8.552585811,0.000191498,-8.560631793,-7.67112556,0.001107841,-6.805342003,-8.003225476,0.000919508,-6.991671581,-8.006367373,0.083547054,-2.48234528,-4.103077488,0.003525309,-5.647787179,-7.970278193,0.082519927,-2.494715472,5.69747E-05,-9.7729034,-8.989441666
