Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF), Sample_ID ,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Rh,Ni,Cu,Zn,Ga,Br,Rb,Sr,Y,Zr,Nb,Mo,Pb,Bi,Al/Ca,ln(Al/Ca),ln(Al/Ca) predicted,Si/Ca,ln(Si/Ca),ln(Si/Ca) predicted,K/Ca,ln(K/Ca),ln(K/Ca) predicted,Ti/Ca,ln(Ti/Ca),ln(Ti/Ca) predicted,Mn/Ca,ln(Mn/Ca),ln(Mn/Ca) predicted,Fe/Ca,ln(Fe/Ca),ln(Fe/Ca) predicted,Ni/Ca,ln(Ni/Ca),ln(Ni/Ca) predicted,Zn/Ca,ln(Zn/Ca),ln(Zn/Ca) predicted,Br/Ca,ln(Br/Ca),ln(Br/Ca) predicted,Rb/Ca,ln(Rb/Ca),ln(Rb/Ca) predicted,Sr/Ca,ln(Sr/Ca),ln(Sr/Ca) predicted,Zr/Ca,ln(Zr/Ca),ln(Zr/Ca) predicted,Cl/Ca,ln(Cl/Ca),Cu/Ca,ln(Cu/Ca),ln(Cu/Ca) predicted
U1456,C,1,H,1,4,0.04,0.04,40,1653,50139,-5078,-2133,110497,-66670,1021,1069949,7987,-19,2938,200622,106342,659,163,264,45,1477,918,22852,2,2949,206,311,110,40,0.001544933,-6.472774444,0.977970347,0.046861112,-3.060567114,-1.096839393,0.000954251,-6.954583724,-3.997667301,0.007464842,-4.897551043,-4.761529889,0.002745925,-5.897637185,-5.266865895,0.187506133,-1.673943722,-2.034952089,0.000615917,-7.392398007,-8.366614047,0.000246741,-8.307172439,-7.493982817,0.00138044,-6.585353259,-7.877809893,0.000857985,-7.060924151,-8.051540824,0.021358027,-3.846327622,-5.178713963,0.002756206,-5.893900133,-8.193478031,0.103273147,-2.270377892,0.000152344,-8.789371341,-8.325262467
U1456,C,1,H,1,6,0.06,0.06,60,2279,61315,-5215,-2802,111944,-47603,7703,1162184,9483,219,1428,220294,86707,485,147,243,58,1394,1083,27309,-70,2681,214,264,138,12,0.001960963,-6.234319522,0.978150862,0.052758427,-2.942031761,-0.995384985,0.006628038,-5.016446409,-3.121435422,0.008159637,-4.808555551,-4.714647064,0.001228721,-6.701781409,-5.591579333,0.189551741,-1.663093255,-2.026524531,0.000417318,-7.781662661,-8.70897231,0.000209089,-8.472750108,-7.609705051,0.001199466,-6.72587896,-7.957923595,0.000931866,-6.978321305,-7.997658987,0.023498,-3.750839954,-5.103412388,0.002306864,-6.071866413,-8.35487565,0.096322097,-2.340057526,0.000126486,-8.975378965,-8.450873415
U1456,C,1,H,1,7,0.07,0.07,70,1738,55223,-5377,-2617,115612,-41488,8449,1149608,8047,356,385,214774,85465,603,134,239,59,1551,968,29423,-129,2854,46,393,86,26,0.00151182,-6.494441267,0.977955979,0.048036374,-3.035796761,-1.075638447,0.007349462,-4.913128203,-3.07472526,0.006999777,-4.961876943,-4.795416773,0.000334897,-8.001688238,-6.116481711,0.186823683,-1.677589981,-2.037784138,0.000524527,-7.553014376,-8.507876144,0.000207897,-8.478468021,-7.6137013,0.001349156,-6.608276409,-7.890878381,0.000842026,-7.079699485,-8.063787974,0.025593942,-3.665399612,-5.036034134,0.002482585,-5.998454775,-8.288298635,0.100566454,-2.296936537,0.000116561,-9.057091773,-8.506054074
U1456,C,1,H,1,9,0.09,0.09,90,1329,52102,-5845,-3911,101616,-58668,-1398,1270150,6628,226,330,181869,110161,554,106,252,43,1478,843,33025,-177,2631,286,339,94,73,0.001046333,-6.862463503,0.977754004,0.041020352,-3.193686947,-1.210776658,-0.001100657,#NUM!,#NUM!,0.005218281,-5.255587183,-4.950143328,0.000259812,-8.255552907,-6.218992264,0.143187025,-1.943603635,-2.244396943,0.000436169,-7.737480875,-8.67011443,0.000198402,-8.525216474,-7.646373794,0.001163642,-6.75620046,-7.975209882,0.000663701,-7.317678604,-8.219021753,0.026000866,-3.649625432,-5.023594616,0.002071409,-6.179526281,-8.452512384,0.080003149,-2.52568928,8.35E-05,-9.391206468,-8.731681728
U1456,C,1,H,1,10,0.1,0.1,100,696,36838,-5875,-2552,143977,-38333,-2077,1207311,4190,157,786,155330,83113,517,138,228,45,1420,780,27719,-29,2406,42,229,71,34,0.000576488,-7.45855647,0.977550138,0.030512436,-3.48962093,-1.464066554,-0.001720352,#NUM!,#NUM!,0.003470523,-5.663450118,-5.165005522,0.000651034,-7.336949338,-5.848060143,0.128657819,-2.050598966,-2.327500217,0.000428224,-7.755863256,-8.686281734,0.000188849,-8.574560502,-7.680860335,0.001176168,-6.74549398,-7.969106118,0.000646064,-7.344612211,-8.236590545,0.022959287,-3.774032753,-5.121702229,0.001992859,-6.218185234,-8.487572189,0.119254277,-2.126497287,0.000114304,-9.076652445,-8.519263396
U1456,C,1,H,1,12,0.12,0.12,120,586,32602,-5776,-1794,154752,-22050,1532,1176768,3802,91,418,151146,74013,488,122,258,94,1415,554,26304,-135,2010,107,260,99,57,0.000497974,-7.604962466,0.977516071,0.027704696,-3.58615334,-1.546688644,0.001301871,-6.643952905,-3.857231108,0.003230883,-5.734999732,-5.202697859,0.00035521,-7.942800823,-6.092702972,0.12844163,-2.052280719,-2.328806435,0.000414695,-7.78796685,-8.714516844,0.000219245,-8.425322671,-7.576558014,0.001202446,-6.723397445,-7.956508884,0.000470781,-7.661117569,-8.44304699,0.022352749,-3.800805958,-5.142815578,0.001708068,-6.372392254,-8.627422536,0.131505955,-2.028703141,0.000103674,-9.174261211,-8.585178596
U1456,C,1,H,1,14,0.14,0.14,140,683,36035,-5955,-1191,148432,-26778,679,1143136,4242,124,274,146530,71251,533,156,213,60,1361,613,25382,-197,2020,128,167,62,6,0.000597479,-7.422791061,0.977559246,0.031522933,-3.457039953,-1.436180496,0.00059398,-7.428664793,-4.211999353,0.003710845,-5.596495786,-5.12973398,0.000239692,-8.336157814,-6.251540525,0.128182473,-2.054300456,-2.330375164,0.000466261,-7.670764497,-8.611437375,0.00018633,-8.587993755,-7.690248835,0.001190584,-6.733310918,-7.962160554,0.000536244,-7.530920985,-8.358119758,0.022203832,-3.80749038,-5.148086914,0.001767069,-6.33843313,-8.596625006,0.129846317,-2.041403701,0.000136467,-8.899429914,-8.399585021
U1456,C,1,H,1,16,0.16,0.16,160,826,40211,-5822,-2160,140712,-45652,-2834,1111699,4195,-7,390,154341,89841,498,182,225,29,1365,670,30414,52,2193,99,302,99,23,0.000743007,-7.20480526,0.977622391,0.036170762,-3.319504165,-1.318463615,-0.002549251,#NUM!,#NUM!,0.003773503,-5.579751415,-5.120913045,0.000350814,-7.955253295,-6.09773128,0.138833443,-1.974480315,-2.26837886,0.000447963,-7.710799957,-8.646648562,0.000202393,-8.505299631,-7.632453912,0.00122785,-6.702490326,-7.944589735,0.000602681,-7.414122321,-8.28193199,0.027358125,-3.598741726,-4.983467725,0.001972656,-6.228374285,-8.496812639,0.12657383,-2.066929506,0.000163713,-8.717393347,-8.276655727
U1456,C,1,H,1,18,0.18,0.18,180,907,37914,-5845,-1313,143124,-31160,445,1109944,6731,30,375,185754,82977,474,134,271,59,1408,770,53086,-282,3021,190,173,112,34,0.000817158,-7.109677671,0.977654565,0.03415848,-3.376744406,-1.367455537,0.000400921,-7.821745839,-4.389711294,0.00606427,-5.105341122,-4.870993703,0.000337855,-7.992894096,-6.112930636,0.167354389,-1.787641625,-2.12326125,0.000427049,-7.7586128,-8.688699957,0.000244156,-8.317701301,-7.501341439,0.001268532,-6.669894585,-7.926006903,0.000693729,-7.273429607,-8.190158132,0.047827638,-3.040151603,-4.542963554,0.002721759,-5.90647694,-8.204883937,0.128947046,-2.048353455,0.000120727,-9.021980322,-8.482343311
U1456,C,1,H,1,20,0.2,0.2,200,469,29887,-5580,-2114,114586,-38118,-5285,1088329,3794,39,439,120036,82436,541,92,175,38,1259,367,55602,-466,2727,117,254,57,42,0.000430936,-7.749551282,0.977486983,0.027461365,-3.594975168,-1.554239246,-0.004856068,#NUM!,#NUM!,0.003486078,-5.6589779,-5.162649558,0.000403371,-7.815654637,-6.041361343,0.110293854,-2.204607074,-2.447118314,0.000497092,-7.606734772,-8.555123232,0.000160797,-8.735368076,-7.793248749,0.001156819,-6.762081016,-7.978562387,0.000337214,-7.994792202,-8.660702954,0.051089331,-2.9741796,-4.490938032,0.002505676,-5.989196668,-8.279902458,0.105286177,-2.251073139,8.45E-05,-9.378365473,-8.723010204
U1456,C,1,H,1,22,0.22,0.22,220,1066,40293,-6198,-1884,131971,-20015,3377,1280757,4954,78,999,152858,66091,538,112,206,39,1330,524,60791,-294,2612,93,269,110,16,0.00083232,-7.091293263,0.977661144,0.0314603,-3.459028832,-1.437882777,0.002636722,-5.938218847,-3.538168741,0.003868025,-5.555011257,-5.10787993,0.000780007,-7.156207089,-5.775076422,0.119349728,-2.125697202,-2.385829017,0.000420064,-7.775103307,-8.703203359,0.000160842,-8.735085699,-7.793051395,0.001038448,-6.870027646,-8.040102761,0.000409133,-7.801470183,-8.534599,0.047464898,-3.047764837,-4.54896735,0.002039419,-6.195090377,-8.466627463,0.103041404,-2.272624387,8.74E-05,-9.344462996,-8.700115861
U1456,C,1,H,1,24,0.24,0.24,240,1191,42439,-5744,-2935,108585,-49705,-2157,1338143,4684,-334,1124,152035,96987,606,134,183,61,1249,551,65867,-472,3193,73,271,91,46,0.000890039,-7.024244821,0.977686188,0.031714847,-3.45097036,-1.430985531,-0.001611935,#NUM!,#NUM!,0.003500373,-5.654885665,-5.160493768,0.00083997,-7.082144359,-5.745169892,0.113616407,-2.174927353,-2.424066075,0.000452866,-7.699913404,-8.637073839,0.000136757,-8.897307237,-7.906428028,0.000933383,-6.97669488,-8.100913751,0.000411765,-7.795058581,-8.530416712,0.049222691,-3.011400554,-4.520290477,0.002386143,-6.038077197,-8.32423221,0.081146036,-2.511504834,0.000100139,-9.20895359,-8.608606359
U1456,C,1,H,1,26,0.26,0.26,260,-54,39873,-6419,-3848,91645,-54532,-4855,1482752,3077,-490,4767,133804,109776,576,176,215,73,1195,451,83865,-269,3063,-50,141,97,13,-3.64E-05,#NUM!,0.977284198,0.026891213,-3.615955696,-1.572196481,-0.003274317,#NUM!,#NUM!,0.002075195,-6.177700003,-5.435912362,0.003214968,-5.739937923,-5.203186933,0.09024031,-2.405279057,-2.602980244,0.000388467,-7.853302718,-8.77197974,0.000145001,-8.83877235,-7.865517996,0.000805934,-7.123508914,-8.184612432,0.000304164,-8.097943039,-8.727988244,0.056560369,-2.872446736,-4.410711496,0.002065753,-6.182260272,-8.45499184,0.061807369,-2.783732682,0.000118698,-9.038926384,-8.493786987
U1456,C,1,H,1,28,0.28,0.28,280,-394,38437,-6474,-4301,101891,-54685,-5500,1634580,2669,-405,-337,155242,101840,670,98,150,79,1127,504,120745,-779,4301,-17,125,75,21,-0.000241041,#NUM!,0.977195413,0.023514909,-3.750120632,-1.687028249,-0.003364779,#NUM!,#NUM!,0.001632835,-6.417437299,-5.562205969,-0.000206169,#NUM!,#NUM!,0.094973632,-2.35415598,-2.56327295,0.000409891,-7.799618736,-8.724764678,9.18E-05,-9.296261154,-8.185256921,0.000689474,-7.279581935,-8.273589661,0.000308336,-8.084320181,-8.719102054,0.073869128,-2.605460286,-4.200165981,0.002631257,-5.940293616,-8.23555228,0.062334667,-2.775237555,6.00E-05,-9.72192897,-8.955018633
U1456,C,1,H,1,30,0.3,0.3,300,44,37730,-6101,-4490,90847,-60514,-6439,1686588,2525,-297,-249,153744,113462,518,37,227,35,1073,445,128202,-798,4650,6,-231,74,26,2.61E-05,-10.55402848,0.97731132,0.022370609,-3.800007298,-1.729726247,-0.003817767,#NUM!,#NUM!,0.001497105,-6.504221769,-5.607924028,-0.000147635,#NUM!,#NUM!,0.091156821,-2.395173951,-2.595131607,0.000307129,-8.088242869,-8.978609603,0.000134591,-8.913268094,-7.917583071,0.000636196,-7.360004369,-8.319438491,0.000263846,-8.240143829,-8.82074582,0.076012636,-2.576855687,-4.177608395,0.002757046,-5.893595613,-8.193201861,0.05386437,-2.921286059,2.19E-05,-10.7273002,-9.633945824
U1456,C,1,H,1,32,0.32,0.32,320,347,43037,-6576,-4894,77544,-57218,-5912,1776908,2783,-523,-127,151256,117948,637,50,125,50,1145,409,117611,-993,4307,-67,34,115,23,0.000195283,-8.541060553,0.977384733,0.024220162,-3.720569843,-1.661735729,-0.003327128,#NUM!,#NUM!,0.001566204,-6.459100572,-5.584154181,-7.15E-05,#NUM!,#NUM!,0.085123146,-2.463656289,-2.648321839,0.000358488,-7.933615678,-8.842614988,7.03E-05,-9.562071596,-8.371031838,0.000644378,-7.347225417,-8.31215321,0.000230175,-8.376670177,-8.909801957,0.06618857,-2.715247486,-4.286744167,0.002423873,-6.022388448,-8.310004084,0.043639851,-3.131784537,2.81E-05,-10.47836233,-9.46583808
