Site,Hole,Core,Type,Section,Interval,Rh,Ca,Ti,Mn,Cl,Cr,Ar,Si,K,Fe,P,S,Al,Ba,Br,Pb,Ga,Sr,Cu,Y,Ni,Nb,Zr,Rb,Zn,Bi,Mo,ln(Al/Ca),predicted_ln(Al/Ca),predicted_Al/Ca,ln(Ba/Ca),ln(Br/Ca),predicted_ln(Br/Ca),predicted_Br/Ca,ln(Cl/Ca),predicted_ln(Cl/Ca),predicted_Cl/Ca,ln(Cu/Ca),predicted_ln(Cu/Ca),predicted_Cu/Ca,ln(Fe/Ca),predicted_ln(Fe/Ca),predicted_Fe/Ca,ln(K/Ca),predicted_ln(K/Ca),predicted_K/Ca,ln(Mn/Ca),predicted_ln(Mn/Ca),predicted_Mn/Ca,ln(Nb/Ca),predicted_ln(Nb/Ca),predicted_Nb/Ca,ln(Ni/Ca),predicted_ln(Ni/Ca),predicted_Ni/Ca,ln(Rb/Ca),predicted_ln(Rb/Ca),predicted_Rb/Ca,ln(Si/Ca),predicted_ln(Si/Ca),predicted_Si/Ca,ln(Sr/Ca),predicted_ln(Sr/Ca),predicted_Sr/Ca,ln(Ti/Ca),predicted_ln(Ti/Ca),predicted_Ti/Ca,ln(Y/Ca),predicted_ln(Y/Ca),predicted_Y/Ca,ln(Zn/Ca),predicted_ln(Zn/Ca),predicted_Zn/Ca,ln(Zr/Ca),predicted_ln(Zr/Ca),predicted_Zr/Ca
U1456,A,2,H,1,4,96908,1068409,15132,493,122914,23,-41431,57916,5356,196162,-5494,-1275,1091,-2954,951,118,59,98044,50,-781,629,9,5385,880,155,43,14,-6.886831198160698,-2.0097077948569333,0.13402783256944725,,-7.024167121448379,-8.115892989166746,0.00029875312659996344,-2.162440981176305,-2.4763093246519086,0.08405286568952632,-9.969658178565624,-9.187379014462525,0.00010232269987479205,-1.6949850565571976,-2.004565826100115,0.13471877437528723,-5.295708477182706,-3.220034876303438,0.03995366480021765,-7.681172009951079,-5.902915747571896,0.002731468922690159,-11.68445660665755,-10.219472044062151,3.645353784274045e-05,-7.437549927293329,-8.357707448685236,0.0002345815079286432,-7.101759276521517,-8.056664600242705,0.00031698230677242804,-2.914932220092457,-0.8909725026290798,0.41025658308138424,-2.388509547510402,-4.080298432539175,0.01690242066763082,-4.257114198240849,-4.4398083036875775,0.011798199974416699,,,,-8.838256067074523,-7.613815443896519,0.0004935850152602967,-5.290308594403281,-7.597167717119627,0.000501870862631634
U1456,A,2,H,1,6,72625,1102856,15112,708,122886,312,-33351,58912,8569,199787,-4919,-1701,1347,-2697,1020,115,97,86826,74,-303,606,154,5450,737,319,24,86,-6.707778560265314,-1.9274435876133427,0.14551973183001424,,-6.9858558303973615,-8.093933859647375,0.00030538604522841514,-2.1944013613612334,-2.48197657142205,0.08357786460343898,-9.60934864347151,-8.899350135424832,0.0001364775896201732,-1.7084066586609765,-2.0146856914093414,0.13336231370008136,-4.85750741800656,-3.0193603539429423,0.04883244385448475,-7.350969642981958,-5.78948907804873,0.0030595449658415486,-8.87646113426205,-9.162661792998001,0.00010488334840102509,-7.506533750606364,-8.414522712193662,0.00022162523966013877,-7.310825844486342,-8.19578060267758,0.00027581489082397615,-2.929613652642874,-0.9028101098433181,0.4054287581179889,-2.541752341709631,-4.195696284765665,0.01506025258609971,-4.2901693274943336,-4.459506024933827,0.01156807621754492,,,,-8.148222633890834,-7.275643593626013,0.0006921944853594107,-5.310042849018389,-7.613582023571727,0.0004937002414824194
U1456,A,2,H,1,8,84549,1232058,11516,218,108481,-134,-43674,56054,4111,171930,-4769,-2886,1157,-2416,1082,105,79,107874,63,-626,601,1,6498,775,283,40,-68,-6.970610772695873,-2.0481996057755096,0.1289668859318876,,-7.037630040483123,-8.123609617207265,0.0002964566318396257,-2.4298661784687297,-2.523729429695736,0.08016009714995855,-9.881061773498017,-9.116555678544627,0.00010983232442491445,-1.9693538036756566,-2.211439397856374,0.10954285922522163,-5.702774912991671,-3.4064512732161543,0.033158662866502944,-8.639701437100461,-6.2321768657142425,0.001965169327310395,-14.02419649988955,-11.100050780138918,1.5111556433436236e-05,-7.625601565354342,-8.512587286544393,0.0002009233056711356,-7.371333470536203,-8.23604327659442,0.000264930434809045,-3.0901257090827836,-1.0322306327221509,0.35621149668458524,-2.4354773415351993,-4.115667029037301,0.016315054164251108,-4.672703848157483,-4.687460309949856,0.009210047143946916,,,,-8.378749602246312,-7.388620338921294,0.0006182483385428117,-5.244946783660504,-7.559437249094548,0.0005211684493932312
U1456,A,2,H,1,10,40358,880959,16902,730,167125,464,-4980,52053,14811,216431,-4930,59,2030,-3477,1076,100,55,69949,37,-317,596,342,5644,1019,241,8,299,-6.072975293774585,-1.635788641406891,0.19479868439669742,,-6.707760625088688,-7.934536239140219,0.0003581580318772916,-1.662269051406173,-2.3876183348356492,0.091848175186907,-10.077848453166194,-9.273865550290234,9.384504904020288e-05,-1.4037392968809683,-1.7849670153905512,0.16780259581199092,-4.0856409388834445,-2.665883488060141,0.06953789049035904,-7.095721831667981,-5.701809787902608,0.003339915445933959,-7.853955628747812,-8.77783414259046,0.0001541115075463037,-7.298525698745068,-8.243206717938808,0.0002630394024152674,-6.762189332587693,-7.8307097112952935,0.0003973433811111954,-2.828748656540636,-0.821482882311285,0.4397790301983134,-2.5332446817446392,-4.189289682141617,0.015157047371625425,-3.95357912870599,-4.258930197227643,0.014137418572649,,,,-8.203969432319763,-7.302964006036159,0.0006735394386730041,-5.0504180528377125,-7.397634623976958,0.0006127003150845527
U1456,A,2,H,1,12,61906,1034775,14682,237,135983,1,-30574,71832,21316,253888,-4813,-1456,3593,-2847,1211,62,76,88006,86,-585,685,-11,4915,1082,278,82,130,-5.6629517826308255,-1.4474068365256776,0.23517935656279082,,-6.750492826191252,-7.959029330156375,0.0003494921944010098,-2.029409412839306,-2.452720033109618,0.08605918402271373,-9.395347273490836,-8.728278962712283,0.00016194092289772188,-1.4050460658703419,-1.7859523170006333,0.16763734107041228,-3.882481326327671,-2.5728463824693373,0.0763180057365855,-8.381634428609212,-6.143529162926254,0.0021473319457591612,,,,-7.320275731482119,-8.26112010374326,0.00025836942851817677,-6.863128110337917,-7.897875874627712,0.00037153188319298026,-2.6676092315436994,-0.6915565135259882,0.5007959664079102,-2.464534296790093,-4.137548059373361,0.015961941294345406,-4.255317037073617,-4.438737366120362,0.011810841878131369,,,,-8.222073456053707,-7.31183643294916,0.0006675899414984101,-5.349647537163077,-7.646523905635469,0.0004777017827476676
U1456,A,2,H,1,14,50933,816002,17325,829,125653,816,-24099,79857,31021,291642,-3252,-1144,4554,-3270,1173,105,88,39781,72,32,592,126,3807,1477,346,37,218,-5.188410838299948,-1.2293830472709604,0.2924729640235391,,-6.544852236270157,-7.841160988353332,0.00039321226069322573,-1.870892666391315,-2.42461168414372,0.08851248317028129,-9.335505965907577,-8.680442247153664,0.00016987592384040107,-1.0288897832569273,-1.5023311154605161,0.22261062376731322,-3.2697524114464325,-2.292246690260857,0.10103920286615507,-6.891951929788338,-5.631813495836562,0.003582073358345439,-8.775890177972155,-9.124811155911392,0.00010892933857453061,-7.228665450039627,-8.18566962810613,0.0002786177943358084,-6.314403802392253,-7.532746562450511,0.0005352660941624939,-2.3241792707520754,-0.4146496812062088,0.6605716508398982,-3.0210273945711976,-4.55660925307175,0.010497593347693047,-3.8522662608655285,-4.198557339082816,0.015017225965520149,-10.146436182123907,-8.321316774546585,0.00024327531448414016,-7.765733309865908,-7.088193078630761,0.0008349046104420375,-5.367575328541135,-7.6614356551506235,0.00047063126135877496
U1456,A,2,H,1,16,42734,804724,16328,469,140958,365,-11552,75058,29856,290286,-3674,-314,4617,-3290,1158,99,66,42634,79,44,671,282,3979,1513,387,29,300,-5.160754217961906,-1.2166764489550213,0.2962130118166809,,-6.5438049823359545,-7.840560727068736,0.0003934483616439892,-1.7420373878217927,-2.4017629365048174,0.09055816418832062,-9.228806788001874,-8.59514768341586,0.00018500130415656337,-1.0196327175922149,-1.495351303589981,0.22416983922675746,-3.294113536821825,-2.3034028869347356,0.09991825403616385,-7.4476518720226155,-5.822700055131712,0.00295960325491413,-7.956347569530782,-8.81637012091007,0.00014828564346205448,-7.0894855034972135,-8.071040647598439,0.00031245795320062806,-6.27640492668054,-7.507461545637481,0.0005489728640493365,-2.3722382134852635,-0.4533995024687729,0.6354642133868453,-2.9378473044757554,-4.493971373129803,0.01117617081414575,-3.8976179359792145,-4.225582635144718,0.014616815957492304,-9.814065006550633,-8.213010472510929,0.0002711033423986036,-7.639829947439114,-7.026490310359511,0.0008880430731405969,-5.309468830041967,-7.6131045733932385,0.0004939360150314176
U1456,A,2,H,1,18,66603,932755,17841,131,116974,1034,-30503,81650,27565,290417,-3767,-1567,4501,-3216,1210,113,52,54530,110,-125,631,260,4634,1457,347,20,213,-5.33384297826927,-1.2962006035099547,0.2735692189200545,,-6.647522212971416,-7.9000090003697245,0.00037074020364516756,-2.076190884699548,-2.461015370767317,0.08534824684146841,-9.045417485769786,-8.448547579880948,0.00021421131435773487,-1.1668247513979164,-1.6063338483850944,0.20062177732888137,-3.5215957205384183,-2.4075785332662964,0.09003304284893902,-8.87070052836105,-6.311526562159685,0.0018152600157498005,-8.185216220546675,-8.902506561982918,0.00013604748728202743,-7.298591989020989,-8.243261314789397,0.00026302504168434365,-6.461763045366998,-7.630801593458267,0.00048527171176291966,-2.4357007531635912,-0.5045692105303143,0.603765615281025,-2.839391563642095,-4.419830327275462,0.012036274338938798,-3.9566433931874987,-4.260756208165875,0.014111627046667682,,,,-7.896573071615343,-7.152315079380223,0.000783049160313703,-5.304722146569881,-7.6091564375927465,0.00049588999624893
U1456,A,2,H,1,20,84000,1124719,17305,743,92054,297,-47165,89894,21126,255673,-3809,-2255,4380,-3787,994,147,76,81128,36,-370,640,107,5597,1118,269,16,176,-5.5482397812727235,-1.3947033859428184,0.24790655803289,,-7.0313065779866415,-8.119985157468067,0.0002975330765529978,-2.502913144281902,-2.536682191167221,0.07912849798393204,-10.349524846187105,-9.49104172610911,7.55253855245719e-05,-1.4813892214304174,-1.843514927304196,0.1582601743229944,-3.9747839962601077,-2.6151164633224386,0.0731592678284091,-7.322347739925456,-5.779657267426314,0.003089774193047675,-9.26021495018131,-9.307090432764461,9.077828683157352e-05,-7.4715756082894975,-8.385731091606253,0.00022809893638761728,-6.91374713092817,-7.931558523461692,0.0003592261140975848,-2.5266573072339082,-0.5779072827482366,0.5610713024198272,-2.629260351351383,-4.261593258375691,0.01409981984858564,-4.1742930285737705,-4.390454743431313,0.012395091352275827,,,,-8.338332405041376,-7.3688126633736335,0.0006306164888162559,-5.303057765751856,-7.607772060157019,0.0004965769705765037
U1456,A,2,H,1,22,90000,1263719,10427,179,104282,-197,-45755,67597,13769,249132,-5915,-2171,3116,-1882,1400,149,85,105580,72,-655,630,-78,4455,1162,242,15,-40,-6.0052641118571595,-1.6046793164204698,0.200953987222431,,-6.805342003244449,-7.990467586344041,0.0003386756862082092,-2.4947154718511744,-2.5352285716440206,0.07924360435360771,-9.772903399831742,-9.030094644096843,0.00011975115889538226,-1.6238313633832488,-1.9509160616676213,0.14214379944100622,-4.519394551403426,-2.864521298699474,0.05701041556103979,-8.862183713007044,-6.308600980464387,0.0018205784832362375,,,,-7.60384969946222,-8.494672390948466,0.0002045552616337652,-6.991671581435942,-7.98341061130196,0.00034107416512219903,-2.9282506364997314,-0.9017111128841466,0.40587456801731253,-2.482345280470191,-4.150960430724749,0.01574928312334067,-4.797415644058205,-4.761776709469384,0.008550404309682054,,,,-8.560631792691112,-7.477757232752926,0.000565524333793534,-5.647787178942889,-7.894506691970183,0.0003727857530427321
