Site,Hole,Core,Type,Section,Interval,Depth CSF,TotalCPS,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Mo,Ag,Ba,Al/Ca,ln(Al/Ca),ln(Al/Ca) predicted,K/Ca,ln(K/Ca),ln(K/Ca) predicted,Ti/Ca,ln(Ti/Ca),ln(Ti/Ca) predicted,Mn/Ca,ln(Mn/Ca),ln(Mn/Ca) predicted,Fe/Ca,ln(Fe/Ca),ln(Fe/Ca) predicted,Sr/Ca,ln(Sr/Ca),ln(Sr/Ca) predicted,Zr/Ca,ln(Zr/Ca),ln(Zr/Ca) predicted,Ba/Ca,ln(Ba/Ca),ln(Ba/Ca) predicted
U1523,B,3,F,1,70,47.4,131863,215,6338,119759,336,951,29276,-3107,43062,37107,13925,351,1671,127229,4305,267,819,1207,5897,10900,1498,13153,186,203660,1874,0.170803352,-1.76724237,1.457625275,1.16048185,0.148835307,0.527897416,0.375266122,-0.980119845,-1.582692528,0.045031935,-3.100383381,-4.051446679,3.428706174,1.232182981,0.64025043,0.293745115,-1.225042842,-4.309117639,0.354461422,-1.037155762,-6.360947908,0.050502601,-2.985730447,-1.572848509
U1523,B,3,F,1,72,47.42,143935,219,7812,143646,474,961,30675,-3992,50128,32499,16765,1078,1820,138173,4228,255,896,1414,6155,10824,1526,13118,162,205478,1803,0.240376627,-1.425548307,1.660249854,1.54244746,0.433370415,0.775272238,0.515862027,-0.66191594,-1.310469086,0.056001723,-2.882372819,-3.831561225,4.251607742,1.447297204,0.834025321,0.333056402,-1.099443429,-4.220758452,0.403643189,-0.907223987,-6.284197209,0.05547863,-2.891757375,-1.531678906
U1523,B,3,F,1,75,47.45,127829,222,6748,120413,488,943,25419,-3031,45706,26377,14907,878,1760,122079,4313,242,869,1067,6258,10310,1513,14323,455,206326,1893,0.255828942,-1.363246254,1.697194972,1.732797513,0.549737162,0.876441489,0.565151458,-0.570661517,-1.232400928,0.066724798,-2.707178609,-3.654860345,4.628236721,1.532175958,0.910484103,0.390870834,-0.93937812,-4.108152508,0.543010957,-0.610625782,-6.108996649,0.07176707,-2.634329546,-1.418899774
U1523,B,3,F,1,77,47.47,135145,213,7599,134433,411,1286,29603,-3784,49154,29345,15058,454,1815,124985,4301,280,901,909,5954,10657,1549,13137,239,205286,1826,0.258953825,-1.351105514,1.70439443,1.675038337,0.515836053,0.846967864,0.513136821,-0.667212763,-1.315000518,0.0618504,-2.783036706,-3.731370822,4.259158289,1.449071556,0.835623658,0.363162379,-1.012905221,-4.159878823,0.44767422,-0.803689498,-6.223039386,0.062225251,-2.776994392,-1.481401243
U1523,B,3,F,1,78,47.48,144583,182,8217,147813,446,1184,32112,-3938,53619,30889,16597,686,2361,136509,4450,240,837,1108,6706,11271,4461,13138,310,206568,1914,0.266017029,-1.324194955,1.720352392,1.735860662,0.551503349,0.877977012,0.537311017,-0.621178177,-1.275617931,0.076434977,-2.571314875,-3.517828183,4.419340218,1.485990413,0.868880164,0.364887177,-1.008167078,-4.15654554,0.425329405,-0.854891339,-6.253284314,0.061963806,-2.78120484,-1.483245841
U1523,B,3,F,1,80,47.5,144178,190,6984,119734,472,1561,39824,-4313,52901,28466,16810,782,1911,151441,4449,345,900,1188,6955,9559,1743,13162,15,204815,1818,0.245345324,-1.405088574,1.672382476,1.858392468,0.61971185,0.937277482,0.590529052,-0.526736445,-1.194823029,0.06713272,-2.701083727,-3.648713047,5.320066044,1.671485718,1.035974334,0.335804117,-1.091227274,-4.214978387,0.462376168,-0.771376503,-6.2039521,0.063865664,-2.750973397,-1.470001445
U1523,B,3,F,1,82,47.52,137831,129,6504,124285,413,1584,35293,-3976,46507,33413,15329,921,1950,126773,4465,360,943,1263,6172,9958,1543,13096,-103,204398,1711,0.194654775,-1.636527674,1.53513909,1.391883399,0.330657793,0.685973885,0.458773531,-0.779198587,-1.410804391,0.058360518,-2.841115673,-3.789949268,3.794122048,1.33345304,0.731474498,0.298027714,-1.210568798,-4.298935149,0.391943256,-0.936638206,-6.301572188,0.051207614,-2.971867051,-1.566774955
U1523,B,3,F,1,85,47.55,130723,178,6081,131481,394,1411,30852,-2389,43412,27598,14059,695,1854,112118,4303,227,840,1108,5296,9193,1379,10992,525,209909,1629,0.220342054,-1.51257415,1.608643529,1.573012537,0.452992594,0.792331761,0.509420973,-0.674480546,-1.321218107,0.067178781,-2.700397839,-3.648021261,4.062540764,1.401808582,0.79304917,0.333103848,-1.099300981,-4.22065824,0.398289731,-0.920575571,-6.29208399,0.059026016,-2.829776977,-1.504525293
U1523,B,3,F,1,102,47.72,158671,349,8249,165889,532,1368,31365,-4332,54168,23002,16177,874,1775,177397,4495,267,964,1964,6792,7104,1531,8429,401,502319,4788,0.358620989,-1.025489188,1.897484912,2.354925659,0.85650916,1.143149063,0.703286671,-0.351990688,-1.045328034,0.077167203,-2.561780746,-3.50821206,7.712242414,2.04280899,1.370462338,0.308842709,-1.174923163,-4.273858445,0.366446396,-1.003903028,-6.341305518,0.208155813,-1.569468381,-0.952384098
U1523,B,3,F,1,105,47.75,157203,182,8340,166288,529,1470,30657,-3886,54000,26003,16584,689,2010,172486,4271,252,975,1705,6919,7652,1551,9572,383,207909,1552,0.320732223,-1.1371487,1.831270821,2.07668346,0.730772131,1.03383329,0.637772565,-0.449773541,-1.128981264,0.077298773,-2.560077194,-3.506493858,6.633311541,1.892104158,1.234707425,0.294273738,-1.223244864,-4.307852762,0.368111372,-0.999369746,-6.338627709,0.059685421,-2.818667494,-1.499658229
U1523,B,3,F,1,106,47.76,154839,244,7699,154441,562,1568,32075,-4065,52626,28582,16164,804,2021,170559,4441,306,933,1554,7074,8098,1514,10249,62,499278,4423,0.269365335,-1.311686699,1.727769788,1.841228745,0.610433145,0.929210576,0.565530754,-0.569990602,-1.23182696,0.070708838,-2.649184711,-3.596367699,5.967357078,1.786304129,1.139402759,0.28332517,-1.261160031,-4.334526082,0.358582325,-1.025597009,-6.354120153,0.154747743,-1.86595895,-1.082276616
U1523,B,3,F,1,110,47.8,149842,192,7536,165939,464,1907,29265,-3790,50074,25735,16079,911,2013,149347,4478,438,995,1694,6318,7611,1434,8738,75,499538,4446,0.292830775,-1.228160396,1.777300885,1.945754809,0.665649978,0.977216091,0.62479114,-0.47033786,-1.14657404,0.078220323,-2.548225786,-3.494540528,5.803264037,1.758420524,1.114285208,0.295745094,-1.218257364,-4.304344055,0.339537595,-1.080170603,-6.386356775,0.172760832,-1.755847118,-1.034036622
U1523,B,3,F,1,112,47.82,146326,214,7404,165774,458,1858,27200,-3066,48992,22548,16334,942,1779,144100,4357,420,987,1698,6372,7248,1530,8284,80,209734,1624,0.328366152,-1.113625976,1.845219797,2.172786943,0.776010649,1.073163658,0.724410147,-0.322397545,-1.0200111,0.07889835,-2.539594962,-3.485835478,6.390810715,1.854861133,1.201158908,0.321447578,-1.134920801,-4.245716784,0.367394004,-1.001320427,-6.339779976,0.072024126,-2.630754128,-1.417333384
U1523,B,3,F,1,114,47.84,149884,210,7799,168725,482,2196,28687,-4132,49037,25317,16072,737,2113,147632,4494,301,968,1695,6099,7837,1440,9377,248,208584,1541,0.308053877,-1.177480586,1.807354012,1.936919856,0.661099008,0.973259478,0.634830351,-0.454397479,-1.132937044,0.083461706,-2.483367368,-3.429124328,5.831338626,1.763246584,1.118632523,0.309554845,-1.172619999,-4.272238169,0.370383537,-0.993216224,-6.334992824,0.060868191,-2.799044551,-1.491061418
U1523,B,3,F,1,118,47.88,144552,167,7417,164709,493,2474,27338,-3511,47050,22335,15747,971,2073,142844,4447,283,946,1661,5951,7250,1405,8053,260,210465,1509,0.332079696,-1.102380292,1.851888487,2.106559212,0.745055911,1.046251609,0.705036938,-0.349505084,-1.043201599,0.092813969,-2.377158121,-3.322001681,6.395522722,1.855598171,1.201822832,0.324602642,-1.125153486,-4.238845477,0.360555182,-1.020110262,-6.350879132,0.067562122,-2.694707775,-1.445351476
U1523,B,3,F,1,120,47.9,135902,242,7000,148438,449,2060,24698,-2815,44878,22523,14335,998,1930,134775,4391,298,913,1431,5814,7039,1514,8329,-114,208027,1660,0.310793411,-1.16862686,1.812604272,1.992540958,0.689410688,0.997873652,0.636460507,-0.45183291,-1.130743054,0.085690183,-2.457017006,-3.402547353,5.983883142,1.789069712,1.141893997,0.312524974,-1.163070895,-4.265520374,0.36979976,-0.994793608,-6.335924584,0.073702438,-2.607719407,-1.407241872
U1523,B,3,F,1,122,47.92,149138,192,7868,163891,392,2227,28602,-3933,50624,25662,15643,602,1890,151363,4557,342,867,1447,6437,7471,1512,8928,230,204319,1556,0.3066012,-1.182207398,1.804551013,1.972722313,0.679414474,0.989182943,0.609578365,-0.494987766,-1.167662034,0.073649755,-2.608434469,-3.555267006,5.898332164,1.774669627,1.1289224,0.291130855,-1.233982439,-4.315406646,0.347907412,-1.055818893,-6.37197222,0.060634401,-2.802892873,-1.492747368
U1523,B,3,F,1,124,47.94,151512,249,7961,161360,476,2404,29477,-4214,52436,26816,16117,1007,2304,156129,4490,309,1000,1560,6660,7574,1579,9921,136,208301,1858,0.296875,-1.214444104,1.785434646,1.955399761,0.670594654,0.981514992,0.601021778,-0.509124109,-1.179755675,0.085918854,-2.454351981,-3.399859409,5.822232995,1.761683864,1.117224825,0.282443317,-1.264277395,-4.336719147,0.369965692,-0.994345002,-6.335659592,0.069286993,-2.669498084,-1.434307111
U1523,B,3,F,1,126,47.96,151903,146,8105,156829,565,2683,30808,-4247,54040,27557,17151,554,2359,157329,4448,245,949,1288,6849,8526,1617,10444,159,207750,1662,0.294117647,-1.223775432,1.779901169,1.961026237,0.673467926,0.984013015,0.622382698,-0.474200106,-1.149878191,0.085604384,-2.458018786,-3.403557748,5.709220888,1.742082567,1.099567977,0.309395072,-1.173136268,-4.272601365,0.378996262,-0.970228936,-6.321414232,0.060311355,-2.80823489,-1.495087705
U1523,B,3,F,1,128,47.98,148293,277,7571,153051,446,2416,29866,-4018,50801,27260,16027,829,2264,154200,4500,255,913,1441,6705,8067,1450,10234,214,205841,1684,0.277732942,-1.281095267,1.745910507,1.863573001,0.622495613,0.939697686,0.587931034,-0.531145626,-1.198595083,0.083052091,-2.488287266,-3.434086536,5.656639765,1.732830035,1.091233295,0.2959281,-1.21763876,-4.303908868,0.375421864,-0.979704916,-6.327011694,0.061775495,-2.78424851,-1.484579272
U1523,B,3,F,1,130,48,149664,203,7718,154567,539,2720,30759,-4339,52652,30213,16100,565,1982,152345,4528,265,915,1417,6663,8241,1632,10578,141,206561,1780,0.255452951,-1.364717032,1.6963228,1.742693543,0.555431929,0.881392519,0.532883196,-0.629453023,-1.282697061,0.0656009,-2.724165859,-3.671993686,5.042365869,1.61787539,0.987682152,0.27276338,-1.2991506,-4.361252447,0.350114189,-1.049495923,-6.368237242,0.058915037,-2.831658931,-1.505349778
U1523,B,3,F,1,132,48.02,154564,194,8437,172723,515,2354,27973,-4164,52915,29136,16550,665,2427,158919,4467,233,1000,1602,6612,8047,1612,9321,40,498676,4501,0.289573037,-1.239347728,1.770666797,1.816138111,0.59671233,0.917281699,0.56802581,-0.565588421,-1.228060894,0.083299012,-2.485318596,-3.431092336,5.454386326,1.696420115,1.05843524,0.276187534,-1.286675172,-4.352475983,0.319913509,-1.139704604,-6.42152351,0.154482427,-1.867674929,-1.083028386
U1523,B,3,F,1,134,48.04,148137,168,7612,148735,509,2765,31787,-4284,51615,31856,15677,662,2167,150574,4475,294,896,1191,6589,8825,1576,11481,343,206620,1739,0.238950276,-1.431499798,1.65672062,1.62025992,0.482586581,0.818060773,0.492120794,-0.709031077,-1.350776087,0.068024862,-2.687882025,-3.63539781,4.726707685,1.55322891,0.929448602,0.277027875,-1.283637145,-4.350338731,0.360403064,-1.020532252,-6.351128401,0.054589402,-2.907915512,-1.538757786
U1523,B,3,F,1,136,48.06,152999,219,7508,163777,503,2826,33636,-4121,49599,30541,15962,984,2327,153719,4519,287,896,1652,6102,7434,1254,8668,128,205720,1557,0.24583347,-1.403100924,1.673561152,1.624013621,0.484900629,0.820072607,0.522641695,-0.648859146,-1.299298999,0.076192659,-2.574490159,-3.521030774,5.03320127,1.616056217,0.98604344,0.243410497,-1.413005971,-4.441349701,0.283815199,-1.25943196,-6.492246458,0.050980649,-2.97630915,-1.568721039
U1523,B,3,F,1,138,48.08,147268,199,7852,161806,412,2350,30205,-3930,48400,27866,15136,832,2378,144449,4357,254,903,1522,6368,7484,1560,9152,-145,209226,1642,0.281777076,-1.266639031,1.754483054,1.736883658,0.552092506,0.878489225,0.543170889,-0.610331295,-1.266338423,0.08533697,-2.461147509,-3.406713378,5.183700567,1.645519196,1.012583692,0.268571018,-1.314639899,-4.372149169,0.32842891,-1.113434873,-6.40600598,0.058924855,-2.831492297,-1.505276775
U1523,B,3,F,1,140,48.1,140739,154,5530,129099,404,2540,35449,-3083,42775,25094,14627,546,1885,144195,4332,282,940,1582,6301,7473,1364,8852,65,212187,1960,0.220371404,-1.512440958,1.608722512,1.704590739,0.533325046,0.862172795,0.58288834,-0.539759638,-1.20596437,0.075117558,-2.588700953,-3.535363781,5.746194309,1.748537776,1.105382829,0.297800271,-1.211332249,-4.299472237,0.352753646,-1.041985352,-6.363800747,0.07810632,-2.5496843,-1.381816692
U1523,B,3,F,2,20,48.32,137390,157,5292,123000,278,1859,29918,-356,43925,28225,14938,806,2224,140021,4590,270,958,1508,5996,7576,1397,8269,18,209303,1474,0.187493357,-1.674011864,1.512910965,1.556244464,0.442275524,0.783014341,0.529247121,-0.636299808,-1.288554486,0.078795394,-2.540900734,-3.48715248,4.96088574,1.601584301,0.973007139,0.268414526,-1.315222754,-4.372559208,0.292967228,-1.227694527,-6.473499157,0.052223206,-2.952228316,-1.558171225
U1523,B,3,F,2,22,48.34,132704,116,4826,118573,370,1423,26936,554,42673,28132,14484,619,2045,133557,4274,272,787,1394,5747,7564,1463,9258,214,216442,1560,0.171548415,-1.762889751,1.460206378,1.516884686,0.416658683,0.760743059,0.514858524,-0.663863127,-1.312134905,0.072693019,-2.621509929,-3.568454914,4.74751173,1.557620635,0.933404668,0.268875302,-1.313507568,-4.371352574,0.329091426,-1.111419676,-6.404815603,0.055452865,-2.892221897,-1.531882413
U1523,B,3,F,2,24,48.36,137957,119,5517,119871,336,1377,25285,-35,47139,30097,15510,1034,2281,148491,4383,267,945,1440,6130,7673,1454,8843,6,508510,4583,0.183307306,-1.696591265,1.49952138,1.566235837,0.448675185,0.788578206,0.515333754,-0.662940522,-1.311345616,0.075788285,-2.579811556,-3.526397935,4.93374755,1.596098851,0.968065845,0.254942353,-1.366717826,-4.40878599,0.293816659,-1.224799313,-6.471788954,0.152274313,-1.882071693,-1.089335609
U1523,B,3,F,2,34,48.46,138094,167,5795,118282,370,961,27121,-368,47857,32018,16151,1053,2197,147105,4221,253,954,947,5957,9770,1569,11640,553,209144,1694,0.180991942,-1.709302768,1.491983459,1.494690487,0.401919153,0.747928512,0.504435005,-0.684316277,-1.329632575,0.068617653,-2.679205451,-3.626646618,4.594446874,1.524848373,0.903883414,0.305140858,-1.186981779,-4.282341681,0.363545506,-1.011850802,-6.346000269,0.052907739,-2.939205648,-1.552465995
U1523,B,3,F,2,36,48.48,139412,199,5868,116236,455,1034,29657,-1840,46445,33335,15512,547,1749,151007,4257,188,867,1154,6557,8562,1528,12472,380,508166,5013,0.176031198,-1.737094036,1.475503237,1.393280336,0.331660921,0.686846005,0.465336733,-0.764993978,-1.398652348,0.052467377,-2.9475637,-3.897312748,4.529983501,1.510718297,0.891155042,0.256847158,-1.359274088,-4.403549321,0.374141293,-0.983121764,-6.329030026,0.150382481,-1.894573358,-1.094812588
U1523,B,3,F,2,38,48.5,139605,174,5326,110471,356,1287,30771,-736,44883,32733,15929,531,1857,159226,4453,278,918,1283,6228,8759,1634,10011,306,506419,4250,0.162710415,-1.815783256,1.428840529,1.371185043,0.315675361,0.672948158,0.486634283,-0.720242396,-1.36036737,0.056731739,-2.869421461,-3.818498486,4.864387621,1.581940833,0.955312303,0.267589283,-1.318302,-4.374725457,0.305838145,-1.184699255,-6.44810185,0.129838389,-2.04146476,-1.159165712
U1523,B,3,F,2,40,48.52,144413,233,6895,121701,503,994,30028,-1562,53469,26847,17568,774,1847,161342,4390,336,966,1331,6980,8249,1486,11063,-55,506159,4631,0.256825716,-1.359357572,1.69950096,1.991619175,0.688947964,0.99747136,0.65437479,-0.424075018,-1.106996178,0.068797259,-2.676591382,-3.624010068,6.009684509,1.793372253,1.145769725,0.307259657,-1.180062102,-4.277473689,0.412075837,-0.886547876,-6.27198383,0.172495996,-1.757381255,-1.034708728
U1523,B,3,F,2,43,48.55,143257,180,7495,125996,441,1021,28821,-2291,54661,29725,17709,438,1744,151702,4387,373,1002,1134,6917,10350,1698,13032,141,206084,1838,0.252144659,-1.377752311,1.68859288,1.838889823,0.609162033,0.928105471,0.595761144,-0.517915458,-1.187276674,0.058671152,-2.835807117,-3.784595058,5.103515559,1.629929628,0.998540609,0.348191758,-1.055001923,-4.189493853,0.438418839,-0.824580571,-6.235379743,0.061833474,-2.783310419,-1.484168294
