Site,Hole,Core,Core Type,Section,Interval (cm),Ar,Ba,Cr,S,Mn,Ca,Si,K,P,Ti,Al,Fe,Rh,Cl,Zn,Rb,Cu,Zr,Mo,Ni,Br,Ga,Pb,Nb,Y,Sr,Bi,ln(Al/Al),predicted_ln(Al/Al),predicted_Al/Al,ln(Ba/Al),predicted_ln(Ba/Al),predicted_Ba/Al
U1456,A,2,H,1,4,-41431,-2954,23,-1275,493,1068409,57916,5356,-5494,15132,1091,196162,96908,122914,155,880,50,5385,14,629,951,59,118,9,-781,98044,43,0.0,0.0,1.0,0.9960654772582542,-5.04151463466626,0.006463950376690018
U1456,A,2,H,1,6,-33351,-2697,312,-1701,708,1102856,58912,8569,-4919,15112,1347,199787,72625,122886,319,737,74,5450,86,606,1020,97,115,154,-303,86826,24,0.0,0.0,1.0,0.694260146729366,-5.121942755588486,0.0059644242134795035
U1456,A,2,H,1,8,-43674,-2416,-134,-2886,218,1232058,56054,4111,-4769,11516,1157,171930,84549,108481,283,775,63,6498,-68,601,1082,79,105,1,-626,107874,40,0.0,0.0,1.0,0.7362828318610289,-5.110744127667225,0.006031592978047991
U1456,A,2,H,1,10,-4980,-3477,464,59,730,880959,52053,14811,-4930,16902,2030,216431,40358,167125,241,1019,37,5644,299,596,1076,55,100,342,-317,69949,8,0.0,0.0,1.0,0.5381340599720283,-5.163548805961512,0.005721359620399891
U1456,A,2,H,1,12,-30574,-2847,1,-1456,237,1034775,71832,21316,-4813,14682,3593,253888,61906,135983,278,1082,86,4915,130,685,1211,76,62,-11,-585,88006,82,0.0,0.0,1.0,-0.23272169983548116,-5.368974204362345,0.00465890794738633
U1456,A,2,H,1,14,-24099,-3270,816,-1144,829,816002,79857,31021,-3252,17325,4554,291642,50933,125653,346,1477,72,3807,218,592,1173,88,105,126,32,39781,37,0.0,0.0,1.0,-0.33121598273238584,-5.395221951812988,0.004538213022402267
U1456,A,2,H,1,16,-11552,-3290,365,-314,469,804724,75058,29856,-3674,16328,4617,290286,42734,140958,387,1513,79,3979,300,671,1158,66,99,282,44,42634,29,0.0,0.0,1.0,-0.3388575787475713,-5.397258361200692,0.00452898076631701
U1456,A,2,H,1,18,-30503,-3216,1034,-1567,131,932755,81650,27565,-3767,17841,4501,290417,66603,116974,347,1457,110,4634,213,631,1210,52,113,260,-125,54530,20,0.0,0.0,1.0,-0.3361612429940757,-5.39653981452145,0.004532236219864599
U1456,A,2,H,1,20,-47165,-3787,297,-2255,743,1124719,89894,21126,-3809,17305,4380,255673,84000,92054,269,1118,36,5597,176,640,994,76,147,107,-370,81128,16,0.0,0.0,1.0,-0.14547457546869705,-5.345723712873705,0.004768498932197552
U1456,A,2,H,1,22,-45755,-1882,-197,-2171,179,1263719,67597,13769,-5915,10427,3116,249132,90000,104282,242,1162,72,4455,-40,630,1400,85,149,-78,-655,105580,15,0.0,0.0,1.0,-0.5042150868453139,-5.441324493609212,0.004333739457541147
U1456,A,2,H,1,24,-36265,-2693,-285,-2150,540,1200765,78257,20516,-4816,14404,3876,261235,80729,107701,284,1098,115,5147,130,581,1120,31,120,89,-176,89405,63,0.0,0.0,1.0,-0.36414788019905797,-5.403997975175486,0.004498559812145998
U1456,A,2,H,1,26,-28018,-2482,258,-1459,670,1106397,67702,14921,-4576,13263,2548,228747,69471,120722,322,1138,73,5343,127,725,985,55,77,119,-87,99499,18,0.0,0.0,1.0,-0.02624405092750145,-5.313949963123775,0.004922444791160334
U1456,A,2,H,1,28,-31231,-3467,311,-933,632,1040693,67905,12747,-4899,15616,2220,213474,69919,108969,747,1040,37,4625,-84,638,855,83,100,107,63,91302,14,0.0,0.0,1.0,0.44578247081869826,-5.1881595865821435,0.005582271053350442
U1456,A,2,H,1,30,-33187,-3942,576,-929,750,951231,69296,12663,-3997,19066,2699,229646,81397,110165,278,935,48,5400,95,539,630,35,227,281,-137,68517,57,0.0,0.0,1.0,0.3788068746946608,-5.206007917274191,0.005483520719388068
U1456,A,2,H,1,32,-36882,-3440,255,-1105,562,1033306,86106,23079,-4183,17934,4135,277164,73451,99802,234,1151,39,5164,186,551,988,50,102,160,-267,74488,11,0.0,0.0,1.0,-0.18401585709034768,-5.355994581361453,0.004719772964130079
U1456,A,2,H,1,34,-23039,-3351,247,-2620,435,1177465,88165,25837,-4029,17243,4290,270849,61287,107587,304,1315,55,5595,-67,601,1035,66,91,154,-132,87415,65,0.0,0.0,1.0,-0.2470279241847522,-5.372786670960888,0.004641179831848435
U1456,A,2,H,1,36,-9829,-2965,618,-2125,360,1122282,95494,35708,-4149,16203,5823,310051,43419,109213,327,1447,97,4581,381,710,1159,32,108,200,13,67392,23,0.0,0.0,1.0,-0.6749385604052941,-5.486820602480722,0.004140989117209496
U1456,A,2,H,1,38,-23424,-3790,684,-2050,1231,1106454,90887,31508,-4218,16652,4651,287664,57986,113351,269,1266,103,4646,-123,732,1265,80,100,54,-607,71706,10,0.0,0.0,1.0,-0.20471623114762497,-5.361511025305291,0.004693808283343418
U1456,A,2,H,1,40,-33527,-3509,697,-2364,-138,1232341,79774,25018,-4509,14710,4205,268450,68467,109797,285,1328,22,5302,85,641,1292,70,116,224,-122,83184,-7,0.0,0.0,1.0,-0.1809431968238333,-5.355175747939807,0.004723639254683627
U1456,A,2,H,1,42,-36729,-3693,-73,-1643,654,1118658,69850,18043,-4751,16159,2817,247215,73130,121926,258,1095,49,6043,-60,582,1022,87,146,225,-291,84207,34,0.0,0.0,1.0,0.2707666469761906,-5.234799564141985,0.005327892277464788
U1456,A,2,H,1,44,-50771,-3081,273,-1708,238,1175883,73657,18045,-4915,14109,3483,263363,92380,96658,244,1197,57,5628,195,656,1157,56,130,256,-564,91991,7,0.0,0.0,1.0,-0.1226397717693333,-5.339638464644493,0.0047976049005852926
U1456,A,2,H,1,46,-38131,-3018,535,-2127,827,1081795,70280,18227,-4516,15039,3045,264399,77880,116632,253,1061,40,5101,45,572,1515,47,120,217,-223,81911,22,0.0,0.0,1.0,-0.008906540816203226,-5.309329688997808,0.004945240456024265
U1456,A,2,H,1,48,-26231,-2790,-200,-2532,88,1273098,67697,17644,-4718,11220,2486,229896,67388,115950,244,1028,79,5026,-34,671,1205,72,91,149,-744,97155,32,0.0,0.0,1.0,0.11536660274475487,-5.2762121313980455,0.005111756830545051
U1456,A,2,H,1,50,-17093,-2346,-76,-2231,333,1261137,64159,19526,-5009,12643,2000,242968,61512,124854,237,1049,53,5329,47,700,1066,68,69,35,-551,100161,30,0.0,0.0,1.0,0.15956456967133845,-5.264433812498713,0.005172320702770337
U1456,A,2,H,1,52,-31181,-6185,1015,-759,1447,883558,79084,20509,-3415,39025,3944,285410,62958,105749,351,1079,54,9372,-74,504,617,70,123,159,152,55062,55,0.0,0.0,1.0,0.4499315691040623,-5.187053893127264,0.005588446747500616
U1456,A,2,H,1,54,-19241,-3611,455,-882,451,954261,73361,27951,-4220,18917,4510,278434,48568,124857,291,1423,98,5080,32,658,1118,64,122,186,-98,73883,24,0.0,0.0,1.0,-0.2223124112192663,-5.366200232404752,0.004671849568934289
U1456,A,2,H,1,56,-22321,-3293,241,-1665,608,1041245,84580,30648,-3739,15483,4887,294177,50356,118731,287,1391,60,4340,337,660,1223,82,87,24,-298,72939,38,0.0,0.0,1.0,-0.3947796148937905,-5.412161028020735,0.004461987305409693
