FileName,Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF),Core_ID , Section_ID , Depth , LiveTime , RealTime , MeasurementDate , MeasurementTime , Sample_ID , User_ID,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ba_Area
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1   40.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,4,0.04,0.04,0,0,40,15,18,12/8/2015 12:47,,40,,1653,50139,-5078,-2133,110497,-66670,1021,1069949,7987,-19,2938,200622,106342,-2005
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1   60.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,6,0.06,0.06,0,0,60,15,19,12/8/2015 12:47,,60,,2279,61315,-5215,-2802,111944,-47603,7703,1162184,9483,219,1428,220294,86707,-2607
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1   70.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,7,0.07,0.07,0,0,70,15,18,12/8/2015 12:48,,70,,1738,55223,-5377,-2617,115612,-41488,8449,1149608,8047,356,385,214774,85465,-1658
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1   90.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,9,0.09,0.09,0,0,90,15,19,12/8/2015 12:48,,90,,1329,52102,-5845,-3911,101616,-58668,-1398,1270150,6628,226,330,181869,110161,-1964
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  100.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,10,0.1,0.1,0,0,100,15,18,12/8/2015 12:49,,100,,696,36838,-5875,-2552,143977,-38333,-2077,1207311,4190,157,786,155330,83113,-1583
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  120.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,12,0.12,0.12,0,0,120,15,18,12/8/2015 12:49,,120,,586,32602,-5776,-1794,154752,-22050,1532,1176768,3802,91,418,151146,74013,-638
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  140.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,14,0.14,0.14,0,0,140,15,18,12/8/2015 12:50,,140,,683,36035,-5955,-1191,148432,-26778,679,1143136,4242,124,274,146530,71251,-973
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  160.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,16,0.16,0.16,0,0,160,15,18,12/8/2015 12:50,,160,,826,40211,-5822,-2160,140712,-45652,-2834,1111699,4195,-7,390,154341,89841,-592
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  180.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,18,0.18,0.18,0,0,180,15,18,12/8/2015 12:51,,180,,907,37914,-5845,-1313,143124,-31160,445,1109944,6731,30,375,185754,82977,-1640
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  200.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,20,0.2,0.2,0,0,200,15,18,12/8/2015 12:51,,200,,469,29887,-5580,-2114,114586,-38118,-5285,1088329,3794,39,439,120036,82436,-1156
