Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF),Al,Ba,Br,Ca,Cl,Fe,K,Mg,Mn,Si,Sr,Ti,Zr,Cu,Nb,Ni,Rb,Y,Zn
U1456,A,2,H,1,22,4.72,6.24,30987,75,77,188840,20192,27728,11313,14692,430,65371,3729,2693,75,29,9,39,66,15,63
U1456,A,2,H,1,79,5.29,6.81,52251,288,67,98260,11223,38522,16358,22404,575,135698,462,4183,132,38,23,67,97,32,81
U1456,A,2,H,2,25,6.25,7.77,27827,102,67,199395,16768,25371,9843,11859,444,67152,3681,2797,80,31,5,40,60,16,48
U1456,A,2,H,2,101,7.01,8.53,53094,238,39,97173,10546,35556,15511,20763,594,138721,547,4452,138,31,23,61,93,29,70
U1456,A,2,H,3,35,7.85,9.37,50083,519,52,110108,10543,33156,16162,21743,500,128828,504,3331,123,64,21,73,96,32,80
U1456,A,2,H,3,119,8.69,10.21,6234,60,93,342041,28551,10727,3994,3718,173,19634,7273,1031,51,20,<NWG,30,27,5,21
U1456,A,3,H,1,36,14.36,16.31,55295,134,63,109244,15013,45500,17037,22936,614,118994,1581,4515,115,37,27,50,106,29,74
U1456,A,3,H,1,114,15.14,17.09,44777,106,59,145773,14789,39113,14279,17996,602,99205,2543,3962,101,38,13,47,88,25,66
U1456,A,3,H,2,44,15.94,17.89,55604,140,51,102464,11256,46095,16806,22690,728,120293,1542,4835,122,37,24,51,107,31,72
U1456,A,3,H,2,95,16.45,18.4,48322,120,56,130494,16433,40653,15448,19585,630,101999,2368,4061,104,35,17,46,95,25,62
U1456,A,3,H,3,32,17.32,19.27,54806,156,42,97463,8718,41684,15266,20607,663,137294,1255,5439,147,31,26,45,93,32,65
U1456,A,3,H,3,33,17.33,19.28,40222,175,48,163233,12392,34035,13090,16503,542,89058,2653,3518,90,28,15,40,86,18,61
U1456,A,3,H,3,40,17.4,19.35,30621,105,27,138036,11933,24398,8495,12280,405,82005,1990,3302,84,17,8,28,51,16,34
U1456,A,3,H,3,106,18.06,20.01,46408,180,64,143182,14946,36390,15097,18771,544,102361,1875,3696,97,40,18,46,94,23,63
U1456,A,4,H,1,7,23.57,26.53,39261,313,59,164828,15320,30807,13274,17078,579,95969,1094,2950,91,52,17,64,75,25,165
U1456,A,4,H,1,49,23.99,26.95,17373,164,51,264712,14356,16633,6847,6993,364,48178,4549,1817,68,28,4,33,42,11,48
U1456,A,4,H,2,19,25.19,28.15,23235,97,70,226265,19870,22402,9116,9943,329,53468,4725,2188,64,27,3,32,54,10,41
U1456,A,4,H,2,41,25.41,28.37,13362,79,38,270693,18364,24315,4638,7471,308,37292,3700,2402,90,13,3,32,27,10,26
U1456,A,4,H,2,121,26.21,29.17,8279,123,66,322795,18753,11278,4094,4063,194,24286,7483,1212,53,20,<NWG,26,29,4,24
U1456,A,4,H,3,16,26.66,29.62,28822,163,76,196856,15162,27101,9826,13323,501,70061,2904,2870,81,47,6,57,54,20,56
U1456,A,4,H,3,68,27.18,30.14,32458,100,17,85635,8376,33290,6931,16064,649,110526,497,7017,144,23,21,44,38,33,39
U1456,A,4,H,4,77,28.77,31.73,16142,78,65,266074,17046,18352,6770,7734,378,41774,5363,1880,62,27,<NWG,34,40,8,35
U1456,A,4,H,4,113,29.13,32.09,32238,257,70,184154,15446,28349,11139,16367,616,80340,1122,2890,82,40,13,51,59,20,65
U1456,A,4,H,5,42,29.92,32.88,17483,75,50,213695,14814,14132,7062,8514,358,38540,3407,1403,41,28,4,30,40,9,35
U1456,A,4,H,5,97,30.47,33.43,20458,201,53,245117,14260,18130,8038,9613,669,55954,3241,1884,68,36,5,42,43,14,46
U1456,A,5,H,1,65,33.65,37.65,37992,204,38,122288,7613,22067,11316,12724,420,140956,1415,3453,125,21,15,45,63,23,51
U1456,A,5,H,1,80,33.8,37.8,5848,207,58,356137,11664,9758,3636,2923,798,23314,1749,676,33,27,2,29,20,8,31
U1456,A,5,H,2,42,34.92,38.92,7926,63,88,333716,22816,12144,4408,3917,225,22849,7184,1051,47,19,0,31,30,3,26
U1456,A,5,H,2,99,35.49,39.49,36317,167,42,155325,9407,26158,12678,14195,456,97770,1839,2501,93,23,12,58,81,19,55
U1456,A,5,H,3,39,36.39,40.39,59223,244,44,95446,8216,40400,18862,21120,639,148392,883,4257,131,24,27,68,126,32,78
U1456,A,5,H,3,70,36.7,40.7,28379,203,49,202783,11984,24128,10579,11976,529,74897,1306,2327,87,29,12,50,58,18,55
U1456,A,5,H,4,15,37.65,41.65,40471,207,55,160426,12368,31065,13427,16629,703,95554,827,3082,93,37,15,52,78,23,69
