Site,Hole,Core,Type,Section,Interval,Replicate,Depth CSF,Al,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Y,Zr,Mo,Ba
U1523,A,1,H,1,53,,0.53,43343.45318,18193.98322,19535.59324,2081.83629,203.3314528,17553.26968,18.9358564,9.091237068,44.35907684,,165.6239102,1.493058626,18.58013971,0.186930763,2750.922699
U1523,A,1,H,1,107,,1.07,53941.11444,22981.70008,13090.53848,3244.784595,238.8733125,31368.58483,29.51019872,10.82926589,65.18666448,,141.9076367,1.9399573,31.1065528,0.222992281,2874.508622
U1523,A,1,H,3,32,,3.32,52590.14041,20113.53583,7225.708427,2422.238159,286.8687122,29880.2831,80.4627917,8.707562662,54.93872083,100.1122731,105.9866465,1.456179775,19.36581677,0.075151253,2361.78643
U1523,A,1,H,3,107,,4.07,49911.81808,20519.1789,10996.57498,2563.718367,346.0603673,24292.85927,66.8475102,13.64302041,58.2217551,89.63497959,127.7941224,1.490285714,29.09963265,0.209632653,2715.37351
U1523,A,1,H,4,28,,4.79,49960.18115,21206.27992,13516.90489,2741.713015,256.6816031,26020.06187,29.80744275,17.53263359,60.77927481,,139.5979008,1.593473282,27.20614504,0.502862595,2856.135191
U1523,A,1,H,4,131,,5.82,57812.03675,23946.57012,19583.80177,3063.967239,417.8146896,31610.20959,34.62274104,22.4117365,66.12147905,,151.4532559,1.87158001,31.65302877,0.314083796,3146.491494
U1523,A,2,H,2,51,,10.52,43885.13628,18549.9372,12154.07537,2342.237888,293.7259976,22613.29262,62.17178557,14.57565498,57.92809351,76.82378073,130.4946393,1.28649738,35.70306328,0.364691657,2570.253164
U1523,A,2,H,2,131,,11.32,53686.17705,19532.08011,26528.16213,2880.92112,297.8649332,24380.5441,24.92513887,26.54185085,71.5873301,,212.0801796,1.578962298,16.09696253,0.701571918,3905.662475
U1523,A,2,H,3,40,,11.91,88648.62185,34256.0439,21971.02512,4391.994724,417.3858661,37878.74657,41.14956693,30.74177165,96.05976378,,282.8375984,2.797322835,28.76901575,0.490590551,5230.297874
U1523,A,3,H,3,54,,20.89,61618.3873,24554.23497,15102.10835,3124.73348,415.7123565,30627.30847,29.89716728,17.26395604,67.33496947,,150.4458852,1.845860806,14.99387057,0.751257631,3060.059683
U1523,A,3,H,5,40,,22.41,37917.44355,19175.14217,28892.92753,1450.944815,190.4418869,14380.94982,38.55957706,6.076209841,36.56909313,74.34888166,175.7435543,0.904676698,19.30105734,-0.029564864,2559.113257
U1523,A,3,H,5,40,R,22.41,39402.06811,16781.8537,34852.95649,1805.600868,213.6924528,15768.13094,42.27083019,6.021698113,39.19067925,63.29079245,222.5023396,1.053735849,9.220641509,0.165471698,2815.320226
U1523,A,3,H,7,48,,23.86,49080.83233,19078.70976,34797.96559,2238.39928,197.3721889,20403.46955,21.09111645,6.947499,52.53433373,,232.164906,1.458503401,16.80820328,0.178471389,3163.835974
U1523,A,4,F,2,12,,28.13,42285.09874,18054.20669,33838.54991,2082.477886,175.4490111,19163.96731,24.99590076,19.27508091,59.68104998,,194.065552,1.283279396,10.14778857,0.162495505,2469.871737
U1523,A,4,F,2,100,,29.01,45039.16379,18772.6085,9562.275367,2497.293119,159.5842276,15720.34944,18.07147054,10.19437142,62.09571672,,131.0659657,1.495067265,10.69803618,0.207360445,2339.08681
U1523,A,4,F,2,100,R,29.01,44454.30376,19313.87634,10006.07031,1722.061015,169.2348535,16659.32406,20.43734096,9.610779128,41.82327377,,135.7439314,1.101786991,11.06398856,0.211093638,2783.559543
U1523,A,6,F,1,31,,37.21,32788.7575,13441.64594,7301.10836,1538.454268,84.54741834,14916.87984,14.17400773,4.049420443,38.77260274,,111.7830699,1.359255357,6.820231823,0.151703548,2268.289849
U1523,A,6,F,1,86,R,37.76,44331.89198,20950.82964,7916.560884,2628.67321,179.2422871,25143.44984,25.43295333,21.34096901,71.70267189,,106.5713217,1.438867118,28.26818668,0.202885643,2711.409833
U1523,A,6,F,1,86,,37.76,43675.89005,20260.67697,8106.756018,2468.087233,178.7004201,25057.89691,23.8987032,20.53673059,62.99408219,,108.4279817,1.429515982,11.22988128,0.209643836,2682.56811
U1523,A,6,F,2,85,,39.25,58417.5646,24110.28271,16138.22084,3571.971672,411.9965261,31604.15383,37.30860572,18.29568925,71.06695089,,188.9567977,1.853087005,57.30459498,0.807926733,2753.364535
U1523,A,6,F,2,118,,39.58,47543.75254,20859.13425,16269.34064,2508.572143,204.4440672,18549.17645,22.97495436,14.1917123,49.26498722,,170.9709383,1.343957649,18.37937203,0.460533041,2982.953815
U1523,A,6,F,4,65,,41.37,50646.4142,21439.27311,8534.262244,2719.637222,352.6201247,27607.71024,75.63406055,12.70859305,72.70917186,93.63107747,110.9555209,1.522885129,15.56976848,0.146170971,2869.76358
U1523,A,7,F,1,68,,42.28,48918.07944,22761.86853,11189.54812,2320.443936,357.6088651,23852.44306,62.8047735,12.6094983,62.82659523,91.95221627,127.5801754,1.698002923,19.84349732,0.555528495,2790.592255
U1523,B,3,F,1,130,,48,42000.18461,19146.31424,7737.38227,2203.370196,329.7214286,21111.48529,59.17895408,13.73426871,54.61186224,77.45068027,103.6278912,1.260076531,62.46483844,0.527636054,2398.143793
U1523,B,3,F,1,130,R,48,47842.64561,20542.656,9025.593495,2475.059392,329.7138953,23740.90158,65.86227868,17.35685142,60.49553503,91.5378368,117.6687452,1.409699769,17.80542725,0.686528099,2807.59388
U1523,B,3,F,2,43,,48.55,20010.44114,8855.845153,3121.350917,1056.476769,110.1337991,9804.605983,15.92951965,3.788340611,24.63144105,33.38978166,61.88379913,0.597161572,11.08436681,0.046899563,1122.940175
U1523,B,5,F,2,51,,58.12,43472.99306,19671.77846,8984.129816,2534.757529,308.0774624,26002.23402,23.92063439,21.27305509,65.50270451,,109.2885476,1.37409015,30.9209015,0.914323873,3176.921603
U1523,B,5,F,3,19,,59.32,30824.16469,14258.28744,6535.817209,1805.996195,295.3591966,18527.41751,50.09818182,14.73082452,48.44917548,60.10693446,80.94342495,0.939281184,23.69526427,0.501057082,2409.732262
U1523,B,7,F,1,19,,65.69,47498.28897,24959.45388,7863.426341,2031.892083,193.9074296,16029.79039,45.02844278,12.30247655,43.59617261,100.7468668,158.3574484,1.120712946,50.35028143,0.072270169,3357.313846
U1523,B,7,F,1,86,,66.36,38276.86328,17327.65283,6596.432215,2230.519846,187.4315863,21692.11883,29.39350105,18.54919637,55.0277079,,93.58535989,1.266911251,28.4046471,0.426065688,2630.236408
U1523,B,7,F,3,113,,69.64,59999.05234,24545.27168,14520.91217,3104.285821,511.1715536,37246.83129,280.8100656,38.49177243,182.4460832,,159.4282713,1.835010941,35.92621444,57.17816193,4831.812079
U1523,B,8,F,1,50,,70.7,42509.66001,17973.17932,7306.173367,1926.64096,232.6109708,15633.74894,42.06503067,13.6504511,43.75178636,74.70981595,124.3468062,1.100793937,20.64875496,0.233706243,3038.454096
U1523,B,8,F,1,97,,71.17,50047.07152,21925.35253,7483.998577,2677.915501,205.8228697,21636.40705,19.58546502,19.57506353,57.73494833,,139.6729121,1.437032018,10.05797052,0.488971709,3194.232831
U1523,B,8,F,CC,5,,74.51,49400.40253,21394.74384,6658.195651,2449.281301,280.7492123,23439.3501,64.92815068,12.93386986,60.10722603,91.6534589,128.3003425,1.350821918,14.99140411,0.236678082,2799.220068
U1523,B,9,F,1,78,,75.68,37143.996,16057.06044,9821.920283,1832.780889,246.9940202,15301.50671,41.48387879,15.85317172,44.45256566,62.14921212,120.9608485,1.00569697,5.459030303,0.260565657,3004.317131
U1523,B,9,F,1,78,R,75.68,36861.29723,16915.57164,10328.06552,1781.397069,309.2801404,16153.09001,46.55516102,16.41226259,46.60107349,66.93823287,119.9220479,1.193187448,18.64991742,0.536209744,2860.597812
U1523,B,10,F,1,64,,80.24,37604.25508,17936.17066,6384.359809,1889.741276,307.3647135,18413.04935,51.00399306,16.24787326,50.96657986,71.80525174,104.6310764,1.162065972,13.56796875,0.6125,3142.25638
U1523,B,11,F,2,18,,85.07,47689.80854,20589.32308,26754.72261,2354.662808,585.4521346,18259.9589,16.86931983,15.06251809,49.95777858,,243.4431983,1.306078148,19.42532562,0.068487699,2863.633177
U1523,B,11,F,2,53,,85.42,36614.65547,15906.14866,7382.185523,1799.762323,276.7173376,18584.22864,53.25109463,16.48107345,47.24495056,70.56373588,93.3983404,1.069879944,13.58919492,1.269032486,2902.841137
U1523,B,20,F,2,25,,129.25,54036.53262,22986.07515,8386.310927,2870.82568,350.4740039,28815.39759,82.36098619,13.82934911,71.33751479,106.7484024,123.597002,1.808205128,34.2713215,0.585719921,2719.276371
U1523,B,20,F,2,61,,129.61,63502.50077,25187.55125,11478.71193,1514,329.5571348,29580.45406,23.43656927,13.53798303,61.39815269,,166.4695947,2.058096136,3.982846371,-0.052968897,3249.529614
U1523,B,20,F,3,27,,130.77,56304.9507,23644.18645,8981.841804,2971.726012,345.6464128,27973.78954,79.38044088,14.5795992,69.05302605,103.2232465,135.8659719,1.662845691,40.87242485,0.618316633,3006.064329
U1523,B,20,F,3,115,,131.65,54269.2014,22341.87545,8641.610293,2755.070377,358.647415,26455.65771,73.45230554,13.10591523,63.57210061,99.38430368,135.5761993,1.558034467,15.60954821,0.562925012,2787.589986
U1523,B,21,F,1,67,,132.67,50184.79364,20467.2905,8085.886563,2687.24357,201.5490264,30084.40413,35.18611914,18.12851359,79.73626374,,144.590669,1.525351841,32.43524195,1.71883555,2914.455061
U1523,B,21,F,2,50,,133.99,64283.87408,24439.33479,12677.34127,3122.744776,317.0438487,26568.10959,25.65114667,18.1389257,73.47232698,,206.1819998,1.859626949,22.54226888,0.98768729,4064.628376
U1523,E,1,H,1,134,,1.34,47390.55285,20735.66394,13988.91045,2720.917637,292.2560364,27591.75376,26.41627075,14.91903677,87.62342987,,127.2985356,1.621542467,10.5126261,0.307159128,2914.608428
U1523,E,1,H,2,33,,1.83,50030.20558,20259.93567,18746.58796,3664.099215,319.9447449,25319.64527,70.22328827,38.37352813,65.10941997,87.41181858,150.3884431,1.560532054,46.16659398,0.142433493,3570.631967
U1523,E,1,H,4,27,,4.77,45851.76762,19408.05409,11757.7759,2295.631927,222.4264918,22503.46845,24.64496389,15.47149373,75.75610034,,121.7374002,1.423945268,51.5981756,0.43109084,2611.715431
U1523,E,1,H,4,27,R,4.77,45048.6479,19687.28568,11441.19386,2449.127592,240.4214568,23763.04675,27.38690348,17.23067815,54.72052386,,118.7630068,1.548869752,20.1559024,0.376426265,2642.345892
U1523,E,1,H,5,43,,6.43,47624.43514,23577.22378,13303.94991,1583.036825,146.7575974,12543.73525,34.66646407,14.05273507,33.19671076,95.86864498,109.1609939,0.85062567,31.47050411,0.385091169,2392.949017
U1523,E,1,H,5,43,R,6.43,65043.81524,15144.08262,15594.87673,5781.079626,237.2602041,33248.41153,92.45238095,22.77095238,66.67098639,47.27452381,140.0471429,1.037891156,36.61496599,0.365102041,2156.892517
U1523,E,3,F,1,24,,16.24,50104.59882,19792.18738,23588.37033,2505.150148,308.9925707,22525.89097,62.59839595,23.60764035,56.48315745,82.57002955,167.8642887,1.499620093,44.75411566,0.182102153,3119.057915
U1523,E,3,F,1,34,,16.34,50158.83419,20975.62961,11229.40398,2896.435528,166.0005208,24938.2779,28.00368304,16.55479911,61.7202381,,125.9029018,1.67280506,30.25450149,0.294940476,2728.087277
U1523,E,4,F,1,23,,20.93,53546.22893,22250.12002,13419.4456,2507.094724,312.6232006,25232.22379,26.35415793,15.33501048,65.45918938,,132.0139064,1.691579315,25.67033543,0.356813417,2838.265863
