FileName,Site,Hole,Core,Core Type,Section,Interval (cm),Depth (CSF-A),Depth (CCSF),Core_ID , Section_ID , Depth , LiveTime , RealTime , MeasurementDate , MeasurementTime , Sample_ID , User_ID,Ni_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1   40.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,4,4.54,6.06,0,0,40,20,21,10/26/2015 10:05,,40,,629,50,155,59,951,880,98044,-781,5385,9,14,118,43
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1   60.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,6,4.56,6.08,0,0,60,20,21,10/26/2015 10:05,,60,,606,74,319,97,1020,737,86826,-303,5450,154,86,115,24
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1   80.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,8,4.58,6.1,0,0,80,20,21,10/26/2015 10:06,,80,,601,63,283,79,1082,775,107874,-626,6498,1,-68,105,40
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1  100.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,10,4.6,6.12,0,0,100,20,21,10/26/2015 10:06,,100,,596,37,241,55,1076,1019,69949,-317,5644,342,299,100,8
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1  120.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,12,4.62,6.14,0,0,120,20,21,10/26/2015 10:07,,120,,685,86,278,76,1211,1082,88006,-585,4915,-11,130,62,82
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1  140.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,14,4.64,6.16,0,0,140,20,21,10/26/2015 10:07,,140,,592,72,346,88,1173,1477,39781,32,3807,126,218,105,37
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1  160.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,16,4.66,6.18,0,0,160,20,21,10/26/2015 10:08,,160,,671,79,387,66,1158,1513,42634,44,3979,282,300,99,29
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1  180.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,18,4.68,6.2,0,0,180,20,21,10/26/2015 10:08,,180,,631,110,347,52,1210,1457,54530,-125,4634,260,213,113,20
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1  200.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,20,4.7,6.22,0,0,200,20,21,10/26/2015 10:09,,200,,640,36,269,76,994,1118,81128,-370,5597,107,176,147,16
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 2 at  30kV\U1456A-2H-1  220.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,A,2,H,1,22,4.72,6.24,0,0,220,20,21,10/26/2015 10:09,,220,,630,72,242,85,1400,1162,105580,-655,4455,-78,-40,149,15
