FileName,Site,Hole,Core,Core Type,Section,Interval (cm),Depth (CSF-A),Depth (CCSF),Core_ID , Section_ID , Depth , LiveTime , RealTime , MeasurementDate , MeasurementTime , Sample_ID , User_ID,Ni_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1   40.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,4,0.04,0.04,0,0,40,20,21,08-12-2015 13:22,,40,,659,163,264,45,1477,918,22852,2,2949,206,311,110,40
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1   60.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,6,0.06,0.06,0,0,60,20,21,08-12-2015 13:22,,60,,485,147,243,58,1394,1083,27309,-70,2681,214,264,138,12
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1   70.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,7,0.07,0.07,0,0,70,20,21,08-12-2015 13:23,,70,,603,134,239,59,1551,968,29423,-129,2854,46,393,86,26
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1   90.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,9,0.09,0.09,0,0,90,20,21,08-12-2015 13:23,,90,,554,106,252,43,1478,843,33025,-177,2631,286,339,94,73
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  100.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,10,0.1,0.1,0,0,100,20,21,08-12-2015 13:24,,100,,517,138,228,45,1420,780,27719,-29,2406,42,229,71,34
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  120.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,12,0.12,0.12,0,0,120,20,21,08-12-2015 13:24,,120,,488,122,258,94,1415,554,26304,-135,2010,107,260,99,57
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  140.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,14,0.14,0.14,0,0,140,20,21,08-12-2015 13:25,,140,,533,156,213,60,1361,613,25382,-197,2020,128,167,62,6
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  160.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,16,0.16,0.16,0,0,160,20,21,08-12-2015 13:25,,160,,498,182,225,29,1365,670,30414,52,2193,99,302,99,23
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  180.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,18,0.18,0.18,0,0,180,20,21,08-12-2015 13:26,,180,,474,134,271,59,1408,770,53086,-282,3021,190,173,112,34
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  200.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,20,0.2,0.2,0,0,200,20,21,08-12-2015 13:26,,200,,541,92,175,38,1259,367,55602,-466,2727,117,254,57,42
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  220.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,22,0.22,0.22,0,0,220,20,21,08-12-2015 13:27,,220,,538,112,206,39,1330,524,60791,-294,2612,93,269,110,16
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  240.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,24,0.24,0.24,0,0,240,20,21,08-12-2015 13:27,,240,,606,134,183,61,1249,551,65867,-472,3193,73,271,91,46
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  260.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,26,0.26,0.26,0,0,260,20,21,08-12-2015 13:28,,260,,576,176,215,73,1195,451,83865,-269,3063,-50,141,97,13
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  280.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,28,0.28,0.28,0,0,280,20,21,08-12-2015 13:28,,280,,670,98,150,79,1127,504,120745,-779,4301,-17,125,75,21
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  300.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,30,0.3,0.3,0,0,300,20,21,08-12-2015 13:29,,300,,518,37,227,35,1073,445,128202,-798,4650,6,-231,74,26
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  320.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,32,0.32,0.32,0,0,320,20,21,08-12-2015 13:29,,320,,637,50,125,50,1145,409,117611,-993,4307,-67,34,115,23
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  340.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,34,0.34,0.34,0,0,340,20,21,08-12-2015 13:30,,340,,598,24,139,74,1203,199,126438,-1141,4627,-161,84,47,18
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  380.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,38,0.38,0.38,0,0,380,20,21,08-12-2015 13:30,,380,,679,108,174,66,1185,510,126336,-891,4760,140,210,57,28
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  400.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,40,0.4,0.4,0,0,400,20,21,08-12-2015 13:31,,400,,580,68,168,36,1138,409,85580,-1028,3511,85,232,79,64
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  420.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,42,0.42,0.42,0,0,420,20,21,08-12-2015 13:31,,420,,551,105,229,69,1212,610,56952,-366,2981,-66,64,96,33
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  440.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,44,0.44,0.44,0,0,440,20,21,08-12-2015 13:32,,440,,516,62,242,33,1121,832,53924,-256,3036,129,313,105,23
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  460.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,46,0.46,0.46,0,0,460,20,21,08-12-2015 13:33,,460,,509,85,251,33,1291,870,60763,-186,3146,6,148,106,21
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  480.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,48,0.48,0.48,0,0,480,20,21,08-12-2015 13:33,,480,,582,53,185,37,1133,648,112358,-869,4199,63,38,54,22
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  500.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,50,0.5,0.5,0,0,500,20,21,08-12-2015 13:34,,500,,592,79,251,57,1049,918,60269,-231,3758,175,19,60,28
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  520.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,52,0.52,0.52,0,0,520,20,21,08-12-2015 13:34,,520,,504,66,251,35,1110,1100,38070,-174,2929,295,318,127,20
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  540.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,54,0.54,0.54,0,0,540,20,21,08-12-2015 13:35,,540,,541,70,296,44,1033,1161,28818,-170,2851,410,276,131,23
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  560.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,56,0.56,0.56,0,0,560,20,21,08-12-2015 13:35,,560,,561,71,316,53,994,1095,29244,-169,3071,198,149,126,20
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  580.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,58,0.58,0.58,0,0,580,20,21,08-12-2015 13:36,,580,,551,46,285,36,1095,1175,32194,-137,3222,218,168,90,36
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  600.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,60,0.6,0.6,0,0,600,20,21,08-12-2015 13:36,,600,,578,72,318,41,1133,1222,33251,-22,3664,270,318,102,22
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  620.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,62,0.62,0.62,0,0,620,20,21,08-12-2015 13:37,,620,,523,74,237,39,1441,1107,25781,-132,3030,317,384,128,25
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  640.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,64,0.64,0.64,0,0,640,20,21,08-12-2015 13:37,,640,,631,55,255,67,1542,1083,29733,-138,2873,292,256,73,30
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 2 at  30kV\U1456C-1H-1  660.0mm  20s  30kV 1000uA Pd-Thick   0.0mm Run2 Rep0.wax,U1456,C,1,H,1,66,0.66,0.66,0,0,660,20,21,08-12-2015 13:38,,660,,535,83,271,34,1940,792,75208,-247,3797,198,369,74,22
