Site,Hole,Core,Core Type,Section,Interval (cm),Ca,Cl,Rh,Fe,Al,K,P,S,Ba,Ti,Si,Cr,Ar,Mn,Br,Cu,Nb,Zr,Y,Ga,Sr,Zn,Mo,Bi,Rb,Pb,Ni,ln(Al/Fe),predicted_ln(Al/Fe),predicted_Al/Fe,ln(Ba/Fe),predicted_ln(Ba/Fe),predicted_Ba/Fe,ln(Br/Fe),predicted_ln(Br/Fe),predicted_Br/Fe,ln(Ca/Fe),predicted_ln(Ca/Fe),predicted_Ca/Fe,ln(Cl/Fe),predicted_ln(Cl/Fe),predicted_Cl/Fe,ln(Cu/Fe),predicted_ln(Cu/Fe),predicted_Cu/Fe,ln(Fe/Fe),predicted_ln(Fe/Fe),predicted_Fe/Fe,ln(K/Fe),predicted_ln(K/Fe),predicted_K/Fe,ln(Mn/Fe),predicted_ln(Mn/Fe),predicted_Mn/Fe,ln(Nb/Fe),predicted_ln(Nb/Fe),predicted_Nb/Fe,ln(Ni/Fe),predicted_ln(Ni/Fe),predicted_Ni/Fe,ln(Rb/Fe),predicted_ln(Rb/Fe),predicted_Rb/Fe,ln(Si/Fe),predicted_ln(Si/Fe),predicted_Si/Fe,ln(Sr/Fe),predicted_ln(Sr/Fe),predicted_Sr/Fe,ln(Ti/Fe),predicted_ln(Ti/Fe),predicted_Ti/Fe,ln(Y/Fe),predicted_ln(Y/Fe),predicted_Y/Fe,ln(Zn/Fe),predicted_ln(Zn/Fe),predicted_Zn/Fe,ln(Zr/Fe),predicted_ln(Zr/Fe),predicted_Zr/Fe
U1456,A,2,H,1,4,1068409,122914,96908,196162,1091,5356,-5494,-1275,-2954,15132,57916,23,-41431,493,951,50,9,5385,-781,59,98044,155,14,43,880,118,629,-5.1918461416035,0.06288735564255654,1.0649068767240168,-4.195780664345246,-5.302166580230269,0.004980790925223078,-5.329182064891182,-6.174979505805246,0.002080848562328231,1.6949850565571976,1.9611861723576267,7.107753087048245,-0.46745592461910707,-0.4629644623784576,0.6294150000227803,-8.274673122008426,-7.091690583215927,0.0008319896282920267,0.0,0.0,1.0,-3.6007234206255085,-0.9836848364900808,0.37393068368325283,-5.986186953393881,-4.034235445450841,0.0176992069507086,-9.989471550100353,-7.542802813705785,0.0005299102985792782,-5.742564870736131,-6.423498679555944,0.0016229680448951224,-5.406774219964319,-6.110237666730562,0.002220023124456035,-1.2199471635352592,1.1100457734801439,3.0344972907582526,-0.6935244909532042,-2.0166918532338003,0.13309503550880922,-2.562129141683652,-2.6596281781208893,0.06997423485972788,-5.526120977596886,-6.114991919472276,0.002209493623218101,-7.143271010517325,-5.498825554589553,0.004091573948014149,-3.595323537846083,-5.8325774747704004,0.0029305139119294127
U1456,A,2,H,1,6,1102856,122886,72625,199787,1347,8569,-4919,-1701,-2697,15112,58912,312,-33351,708,1020,74,154,5450,-303,97,86826,319,86,24,737,115,606,-4.999371901604338,0.08731627182486723,1.0912417541677004,-4.3051117548749716,-5.265060493687049,0.005169080322134716,-5.277449171736385,-6.137287476139513,0.0021607768349357764,1.7084066586609767,1.9716199340426044,7.182301924976591,-0.48599470270025696,-0.4770325142164347,0.6206223499159714,-7.900941984810532,-6.980553518081029,0.0009297884060490468,0.0,0.0,1.0,-3.149100759345583,-0.9716871737713177,0.37844399838147663,-5.642562984320982,-3.989170869971652,0.018515059148944968,-7.168054475601073,-7.648757535282806,0.0004766359646477127,-5.798127091945387,-6.44538801235286,0.0015878283525186674,-5.602419185825365,-6.1497430000304965,0.002134030145250733,-1.2212069939818975,1.109776906443443,3.033681524135101,-0.8333456830486542,-2.13524855432905,0.11821520382403929,-2.5817626688333566,-2.662849950778441,0.06974915655337963,-6.491274272505333,-6.248608364763783,0.0019331424943986972,-6.439815975229857,-5.660532482432847,0.003480663012765792,-3.601636190357412,-5.833544298671435,0.002927681990242426
U1456,A,2,H,1,8,1232058,108481,84549,171930,1157,4111,-4769,-2886,-2416,11516,56054,-134,-43674,218,1082,63,1,6498,-626,79,107874,283,-68,40,775,105,601,-5.001256969020217,0.08707701822968117,1.0909807018848925,-4.264974137159188,-5.278682876024813,0.005099142574542321,-5.068276236807466,-5.984886324999213,0.0025164997653329803,1.9693538036756566,2.174476515723849,8.797578522526813,-0.460512374793073,-0.4576953870130458,0.6327401877332078,-7.91170796982236,-6.983755017390056,0.0009268164490071942,0.0,0.0,1.0,-3.7334211093160143,-0.9872100407124643,0.37261482236088955,-6.670347633424804,-4.123959717853404,0.016180317932007495,-12.054842696213893,-7.465240433185171,0.0005726473743687635,-5.656247761678685,-6.389493128929913,0.001679107076529705,-5.401979666860546,-6.1092695333694245,0.0022221734436352306,-1.1207719054071268,1.1312112865363773,3.099408499078721,-0.4661235378595429,-1.8238748244224907,0.16139914437628894,-2.703350044481826,-2.6828018870444414,0.0683713168197009,-5.615492325113794,-6.127364546524493,0.002182324804064179,-6.409395798570655,-5.667525329260648,0.003456408173484496,-3.275592979984847,-5.783608654662447,0.0030775893880341473
U1456,A,2,H,1,10,880959,167125,40358,216431,2030,14811,-4930,59,-3477,16902,52053,464,-4980,730,1076,37,342,5644,-317,55,69949,241,299,8,1019,100,596,-4.669235996893616,0.12921726774507258,1.1379373343880317,-4.131101936921588,-5.324118016419731,0.0048726467139771565,-5.304021328207719,-6.156647663612562,0.002119346137428349,1.4037392968809683,1.7347758805962303,5.667657429448667,-0.2585297545252048,-0.30442196414446765,0.7375495813015478,-8.674109156285224,-7.210471557398284,0.0007388086826066007,0.0,0.0,1.0,-2.6819016420024764,-0.9592757119184057,0.3831703111847095,-5.691982534787012,-3.9956519983636345,0.018395448697448472,-6.450216331866844,-7.675715031692735,0.00046395869379570117,-5.894786401864099,-6.483467983899759,0.0015285006614334901,-5.358450035706724,-6.100479874102769,0.002241791683552823,-1.4250093596596676,1.066282372493544,2.9045613263855876,-1.129505384863671,-2.3863672632910777,0.09196315573475285,-2.5498398318250217,-2.657611558173754,0.0701154886772942,-6.526125295052169,-6.253433162826482,0.001923837936592847,-6.800230135438794,-5.577682174061977,0.0037813198105475687,-3.6466787559567444,-5.840442861344921,0.0029075546970631313
U1456,A,2,H,1,12,1034775,135983,61906,253888,3593,21316,-4813,-1456,-2847,14682,71832,1,-30574,237,1211,86,-11,4915,-585,76,88006,278,130,82,1082,62,685,-4.257905716760483,0.18142348992141377,1.1989228035225854,-4.490627416595965,-5.202097980777053,0.005505002906808346,-5.345446760320909,-6.186829788000116,0.002056335450170489,1.4050460658703419,1.7357917441352488,5.673417921424382,-0.624363346968964,-0.5820328142255303,0.5587613532609498,-7.990301207620494,-7.007126422442958,0.0009054066099144448,0.0,0.0,1.0,-2.4774352604573293,-0.9538439236282603,0.38525727403311516,-6.9765883627388705,-4.164121667260513,0.015543361149233546,-10.046753231075632,-7.540651673197686,0.0005310514370227345,-5.915229665611776,-6.491521826850757,0.0015162397969686122,-5.4580820444675755,-6.120597926699302,0.002197141840438635,-1.2625631656733576,1.1009508684939324,3.007023949309406,-1.0594882309197513,-2.3269985605410497,0.09758821307394835,-2.850270971203275,-2.7069109440123555,0.06674266041931498,-6.073036656642145,-6.190707279191532,0.0020483774660531627,-6.817027390183365,-5.573820900313562,0.0037959487464537278,-3.944601471292735,-5.886071668146969,0.0027778676772969
U1456,A,2,H,1,14,816002,125653,50933,291642,4554,31021,-3252,-1144,-3270,17325,79857,816,-24099,829,1173,72,126,3807,32,88,39781,346,218,37,1477,105,592,-4.159521055043021,0.19391051496295353,1.2139876443662114,-4.490737037775406,-5.202060776236682,0.0055052077217212295,-5.51596245301323,-6.311065688130439,0.0018160968147620425,1.028889783256927,1.4433732251873264,4.234957214363942,-0.8420028831343879,-0.7471874033449534,0.4736969994551353,-8.30661618265065,-7.101189545592517,0.0008241240068791196,0.0,0.0,1.0,-2.240862628189505,-0.947559210982541,0.387686129630335,-5.86306214653141,-4.018088239051985,0.017987319545208717,-7.7470003947152275,-7.627015959312944,0.0004871122545374439,-6.1997756667827,-6.60362177498286,0.0013554500020069896,-5.285514019135325,-6.085752372009671,0.002275051994739887,-1.2952894874951482,1.0939665721595917,2.986095174421924,-1.9921376113142708,-3.117807394030468,0.04425409391164271,-2.8233764776086017,-2.7024976797302256,0.0670378643459726,-9.11754639886698,-6.612191173571267,0.001343884237274303,-6.736843526608981,-5.592253188933006,0.0037266216152294545,-4.338685545284208,-5.9464282141580425,0.0026151646646925416
U1456,A,2,H,1,16,804724,140958,42734,290286,4617,29856,-3674,-314,-3290,16328,75058,365,-11552,469,1158,79,282,3979,44,66,42634,387,300,29,1513,99,671,-4.1411215003696915,0.19624579462899383,1.2168259578649212,-4.479979079117263,-5.205711940265719,0.005485143955654947,-5.52417226474374,-6.317047268676697,0.0018052661100439672,1.0196327175922149,1.4361769146201548,4.204590542062585,-0.722404670229578,-0.6564309440190252,0.5186993016257765,-8.20917407040966,-7.072213018626623,0.0008483536079118685,0.0,0.0,1.0,-2.27448081922961,-0.9484523010594894,0.3873400455601194,-6.428019154430401,-4.0921795423846685,0.016702789419752496,-6.936714851938567,-7.657445199944807,0.00047251304641809076,-6.069852785904999,-6.552437262996642,0.0014266342746531875,-5.256772209088324,-6.079948722625938,0.002288293987620604,-1.3526054958930487,1.081734461581068,2.9497914165009798,-1.9182145868835405,-3.0551268391006534,0.04711674414584792,-2.877985218387,-2.711458726136287,0.06643981849286215,-8.794432288958419,-6.567459047579192,0.0014053638418097126,-6.620197229846899,-5.619067289831417,0.0036280234257009556,-4.289836112449752,-5.938946604940433,0.00263480367886131
U1456,A,2,H,1,18,932755,116974,66603,290417,4501,27565,-3767,-1567,-3216,17841,81650,1034,-30503,131,1210,110,260,4634,-125,52,54530,347,213,20,1457,113,631,-4.167018226871353,0.192958970578627,1.2128330306607857,-4.503179469865429,-5.197837915569112,0.005528504601995559,-5.480697461573499,-6.285371994573984,0.0018633636796580204,1.1668247513979162,1.5506018983725351,4.714306862436742,-0.9093661333016316,-0.7983056427013535,0.45009093326877214,-7.878592734371869,-6.973907483393257,0.0009359883918874277,0.0,0.0,1.0,-2.354770969140502,-0.9505852634213421,0.38651474430285515,-7.703875776963135,-4.259501796480837,0.014129339943839844,-7.018391469148758,-7.654377938704321,0.00047396459236828626,-6.131767237623073,-6.576829125112654,0.0013922569757215957,-5.294938293969081,-6.087655355389689,0.00227072672536836,-1.2688760017656748,1.0996036129661355,3.002975447467093,-1.6725668122441788,-2.8468380285407293,0.05802751243714134,-2.7898186417895827,-2.696990991244558,0.06740803926523334,-7.750759362861984,-6.422972293850376,0.001623822576961551,-6.729748320217427,-5.5938842015357135,0.0037205484024990733,-4.137897395171964,-5.915676199497866,0.0026968355832879083
U1456,A,2,H,1,20,1124719,92054,84000,255673,4380,21126,-3809,-2255,-3787,17305,89894,297,-47165,743,994,36,107,5597,-370,76,81128,269,176,16,1118,147,640,-4.066850559842306,0.2056722954476632,1.2283506019475292,-4.212325135311003,-5.296551520794817,0.005008837028884752,-5.549917356556223,-6.335804865732783,0.0017717192684497671,1.4813892214304174,1.7951398223478126,6.020316437739429,-1.0215239228514845,-0.8834159768621899,0.4133684401289368,-8.868135624756688,-7.268169538963543,0.0006973873665454821,0.0,0.0,1.0,-2.4933947748296905,-0.9542678989665486,0.38509396907111343,-5.8409585184950386,-4.0151894581063585,0.018039536490547743,-7.778825728750892,-7.625820799463193,0.00048769477958232117,-5.99018638685908,-6.521051830890167,0.0014721198665801087,-5.432357909497753,-6.11540361709178,0.002208584167176402,-1.0452680858034908,1.1473249534910077,3.1497558865178577,-1.1478711299209656,-2.401939882251892,0.09054214172389988,-2.6929038071433533,-2.6810877069292354,0.06848861808046473,-6.538151557574528,-6.2550980863747485,0.0019206375584409194,-6.856943183610959,-5.564645245859733,0.003830939345804468,-3.8216685443214384,-5.867243688655518,0.0028306647847090873
U1456,A,2,H,1,22,1263719,104282,90000,249132,3116,13769,-5915,-2171,-1882,10427,67597,-197,-45755,179,1400,72,-78,4455,-655,85,105580,242,-40,15,1162,149,630,-4.381432748473911,0.16574538409286188,1.1802725472966307,-4.885647835319224,-5.068031250330428,0.006294800836623901,-5.1815106398612,-6.067387693447946,0.00231721859628555,1.6238313633832488,1.905872308048242,6.725271578201756,-0.8708841084679254,-0.7691037655430439,0.4634282225870641,-8.149072036448494,-7.054340374369142,0.0008636522363864308,0.0,0.0,1.0,-2.8955631880201773,-0.9649517759977079,0.38100157271704044,-7.238352349623795,-4.198450712980274,0.015018827279165243,-8.069029328774958,-7.614922573206922,0.0004930388552134119,-5.980018336078971,-6.517046018261052,0.0014780287299315492,-5.3678402180526925,-6.10237597340536,0.002237545051195697,-1.3044192731164825,1.0920181366282287,2.9802826250118453,-0.8585139170869424,-2.1565891161942043,0.11571915324282742,-3.1735842806749566,-2.7599651900648317,0.06329397158034078,-5.941102919829297,-6.1724422874850795,0.002086134832797349,-6.936800429307863,-5.546288038618483,0.0039019141497754245,-4.023955815559639,-5.8982253034928815,0.0027443108184788847
