Site,Hole,Core,Type,Section,Interval,Depth CSF,TotalCPS,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Mo,Ag,Ba
U1523,B,3,F,1,70,47.4,131863,215,6338,119759,336,951,29276,-3107,43062,37107,13925,351,1671,127229,4305,267,819,1207,5897,10900,1498,13153,186,203660,1874
U1523,B,3,F,1,72,47.42,143935,219,7812,143646,474,961,30675,-3992,50128,32499,16765,1078,1820,138173,4228,255,896,1414,6155,10824,1526,13118,162,205478,1803
U1523,B,3,F,1,75,47.45,127829,222,6748,120413,488,943,25419,-3031,45706,26377,14907,878,1760,122079,4313,242,869,1067,6258,10310,1513,14323,455,206326,1893
U1523,B,3,F,1,77,47.47,135145,213,7599,134433,411,1286,29603,-3784,49154,29345,15058,454,1815,124985,4301,280,901,909,5954,10657,1549,13137,239,205286,1826
U1523,B,3,F,1,78,47.48,144583,182,8217,147813,446,1184,32112,-3938,53619,30889,16597,686,2361,136509,4450,240,837,1108,6706,11271,4461,13138,310,206568,1914
U1523,B,3,F,1,80,47.5,144178,190,6984,119734,472,1561,39824,-4313,52901,28466,16810,782,1911,151441,4449,345,900,1188,6955,9559,1743,13162,15,204815,1818
U1523,B,3,F,1,82,47.52,137831,129,6504,124285,413,1584,35293,-3976,46507,33413,15329,921,1950,126773,4465,360,943,1263,6172,9958,1543,13096,-103,204398,1711
U1523,B,3,F,1,85,47.55,130723,178,6081,131481,394,1411,30852,-2389,43412,27598,14059,695,1854,112118,4303,227,840,1108,5296,9193,1379,10992,525,209909,1629
U1523,B,3,F,1,102,47.72,158671,349,8249,165889,532,1368,31365,-4332,54168,23002,16177,874,1775,177397,4495,267,964,1964,6792,7104,1531,8429,401,502319,4788
U1523,B,3,F,1,105,47.75,157203,182,8340,166288,529,1470,30657,-3886,54000,26003,16584,689,2010,172486,4271,252,975,1705,6919,7652,1551,9572,383,207909,1552
U1523,B,3,F,1,106,47.76,154839,244,7699,154441,562,1568,32075,-4065,52626,28582,16164,804,2021,170559,4441,306,933,1554,7074,8098,1514,10249,62,499278,4423
U1523,B,3,F,1,110,47.8,149842,192,7536,165939,464,1907,29265,-3790,50074,25735,16079,911,2013,149347,4478,438,995,1694,6318,7611,1434,8738,75,499538,4446
U1523,B,3,F,1,112,47.82,146326,214,7404,165774,458,1858,27200,-3066,48992,22548,16334,942,1779,144100,4357,420,987,1698,6372,7248,1530,8284,80,209734,1624
U1523,B,3,F,1,114,47.84,149884,210,7799,168725,482,2196,28687,-4132,49037,25317,16072,737,2113,147632,4494,301,968,1695,6099,7837,1440,9377,248,208584,1541
U1523,B,3,F,1,118,47.88,144552,167,7417,164709,493,2474,27338,-3511,47050,22335,15747,971,2073,142844,4447,283,946,1661,5951,7250,1405,8053,260,210465,1509
U1523,B,3,F,1,120,47.9,135902,242,7000,148438,449,2060,24698,-2815,44878,22523,14335,998,1930,134775,4391,298,913,1431,5814,7039,1514,8329,-114,208027,1660
U1523,B,3,F,1,122,47.92,149138,192,7868,163891,392,2227,28602,-3933,50624,25662,15643,602,1890,151363,4557,342,867,1447,6437,7471,1512,8928,230,204319,1556
U1523,B,3,F,1,124,47.94,151512,249,7961,161360,476,2404,29477,-4214,52436,26816,16117,1007,2304,156129,4490,309,1000,1560,6660,7574,1579,9921,136,208301,1858
U1523,B,3,F,1,126,47.96,151903,146,8105,156829,565,2683,30808,-4247,54040,27557,17151,554,2359,157329,4448,245,949,1288,6849,8526,1617,10444,159,207750,1662
U1523,B,3,F,1,128,47.98,148293,277,7571,153051,446,2416,29866,-4018,50801,27260,16027,829,2264,154200,4500,255,913,1441,6705,8067,1450,10234,214,205841,1684
U1523,B,3,F,1,130,48,149664,203,7718,154567,539,2720,30759,-4339,52652,30213,16100,565,1982,152345,4528,265,915,1417,6663,8241,1632,10578,141,206561,1780
U1523,B,3,F,1,132,48.02,154564,194,8437,172723,515,2354,27973,-4164,52915,29136,16550,665,2427,158919,4467,233,1000,1602,6612,8047,1612,9321,40,498676,4501
U1523,B,3,F,1,134,48.04,148137,168,7612,148735,509,2765,31787,-4284,51615,31856,15677,662,2167,150574,4475,294,896,1191,6589,8825,1576,11481,343,206620,1739
U1523,B,3,F,1,136,48.06,152999,219,7508,163777,503,2826,33636,-4121,49599,30541,15962,984,2327,153719,4519,287,896,1652,6102,7434,1254,8668,128,205720,1557
U1523,B,3,F,1,138,48.08,147268,199,7852,161806,412,2350,30205,-3930,48400,27866,15136,832,2378,144449,4357,254,903,1522,6368,7484,1560,9152,-145,209226,1642
U1523,B,3,F,1,140,48.1,140739,154,5530,129099,404,2540,35449,-3083,42775,25094,14627,546,1885,144195,4332,282,940,1582,6301,7473,1364,8852,65,212187,1960
U1523,B,3,F,2,20,48.32,137390,157,5292,123000,278,1859,29918,-356,43925,28225,14938,806,2224,140021,4590,270,958,1508,5996,7576,1397,8269,18,209303,1474
U1523,B,3,F,2,22,48.34,132704,116,4826,118573,370,1423,26936,554,42673,28132,14484,619,2045,133557,4274,272,787,1394,5747,7564,1463,9258,214,216442,1560
U1523,B,3,F,2,24,48.36,137957,119,5517,119871,336,1377,25285,-35,47139,30097,15510,1034,2281,148491,4383,267,945,1440,6130,7673,1454,8843,6,508510,4583
U1523,B,3,F,2,34,48.46,138094,167,5795,118282,370,961,27121,-368,47857,32018,16151,1053,2197,147105,4221,253,954,947,5957,9770,1569,11640,553,209144,1694
U1523,B,3,F,2,36,48.48,139412,199,5868,116236,455,1034,29657,-1840,46445,33335,15512,547,1749,151007,4257,188,867,1154,6557,8562,1528,12472,380,508166,5013
U1523,B,3,F,2,38,48.5,139605,174,5326,110471,356,1287,30771,-736,44883,32733,15929,531,1857,159226,4453,278,918,1283,6228,8759,1634,10011,306,506419,4250
U1523,B,3,F,2,40,48.52,144413,233,6895,121701,503,994,30028,-1562,53469,26847,17568,774,1847,161342,4390,336,966,1331,6980,8249,1486,11063,-55,506159,4631
U1523,B,3,F,2,43,48.55,143257,180,7495,125996,441,1021,28821,-2291,54661,29725,17709,438,1744,151702,4387,373,1002,1134,6917,10350,1698,13032,141,206084,1838
U1523,B,3,F,2,44,48.56,146163,152,7380,122863,585,1009,28917,-2539,54473,37802,17873,841,2185,159165,4209,221,879,1049,7213,10483,1456,12815,152,503241,4970
U1523,B,3,F,2,46,48.58,157186,238,8908,147278,555,1021,31663,-4742,59090,31068,19158,768,1926,172598,4366,257,1028,1325,7335,10303,1608,13354,155,501911,5634
U1523,B,3,F,2,47,48.59,154912,255,9350,146147,610,1106,29588,-4646,60379,28867,19365,872,1831,171333,4416,255,966,1132,7254,9789,1731,13208,90,502150,5713
U1523,B,3,F,2,52,48.64,134279,225,5206,125140,356,1375,35393,-1426,41030,30632,14257,509,1876,121454,4463,260,808,1211,5422,9225,1218,12763,370,209827,1821
U1523,B,3,F,2,58,48.7,132983,113,5851,148702,464,1481,31876,-3487,40367,33593,13636,635,1890,96835,4356,302,733,1019,5414,10935,1533,14518,202,209526,1986
U1523,B,3,F,2,62,48.74,133304,144,6050,125564,441,1562,28284,-917,47888,28786,14199,691,1640,126133,4275,281,750,1007,6028,9076,1325,11497,208,185247,1805
U1523,B,3,F,2,64,48.76,134239,218,5869,121756,456,1712,31747,-1932,46116,29289,14516,820,2155,128690,4242,319,850,1164,6222,9200,1512,13500,164,503833,5123
U1523,B,3,F,2,68,48.8,140215,208,6942,127577,438,1746,34443,-2996,50102,29906,14924,812,2110,140533,4400,234,813,962,6600,9162,1272,11392,101,208499,1880
U1523,B,3,F,2,70,48.82,137970,195,6902,129256,480,1717,29230,-2598,49703,29555,15620,766,2174,138600,4177,255,918,969,6334,8694,1583,11348,304,208375,1742
U1523,B,3,F,2,72,48.84,145643,248,7695,140419,577,1784,31610,-3858,53388,30559,16288,368,2110,147795,4231,293,952,1003,6733,9040,1662,11726,288,210898,1723
U1523,B,3,F,2,74,48.86,146110,201,8088,145293,654,1759,27723,-3637,53154,32049,16366,719,2394,151561,4404,236,857,1053,6463,8546,1694,12288,222,207600,1768
U1523,B,3,F,2,75,48.87,147716,234,7669,140584,546,2177,32895,-3767,52902,30892,16646,706,2220,153473,4451,316,977,1065,6751,9143,1519,12100,25,210351,1905
U1523,B,3,F,2,80,48.92,145797,196,7431,142526,489,1954,31899,-4268,52103,31496,16542,929,2149,145320,4335,227,848,948,6839,9746,1693,12868,50,207623,1835
U1523,B,3,F,2,82,48.94,145886,167,8544,153680,604,1691,23643,-3286,54677,33979,16744,627,2300,148011,4157,260,882,987,6865,8471,1478,11906,31,209510,1720
U1523,B,3,F,2,84,48.96,139490,203,7496,140384,545,1660,22832,-1719,51821,30507,15980,687,2360,141705,4340,244,870,918,6380,9233,1483,11557,17,211186,1921
U1523,B,3,F,2,86,48.98,146099,257,7536,143934,545,2107,31704,-4187,51373,33212,15893,533,2131,147873,4374,243,893,1231,6679,9847,1717,11767,171,209266,1789
U1523,B,3,F,2,88,49,134712,126,6712,134266,403,1631,22557,-1134,48141,31506,14814,638,2044,136217,4289,189,831,1024,6142,8366,1520,11157,226,209622,1728
U1523,B,3,F,2,90,49.02,139189,150,7274,137564,476,2800,28665,-2178,48977,32665,15410,868,2258,141051,4219,249,854,969,6535,8204,1446,11764,381,504380,4986
U1523,B,3,F,2,92,49.04,148915,293,8895,158490,471,1671,23495,-3706,55718,33527,17778,711,2754,155147,4244,181,929,1083,6563,8985,1697,11450,-47,500569,4834
U1523,B,3,F,2,94,49.06,148479,135,8427,157110,434,1668,22040,-2705,55970,35149,16946,783,2563,153310,4271,323,902,947,6499,8985,1522,11319,332,212078,1942
U1523,B,3,F,2,96,49.08,156240,250,9092,164479,613,1835,27501,-4706,58183,36011,17623,899,2473,159292,4237,346,976,1049,7103,9807,1754,11952,111,210724,1771
U1523,B,3,F,2,98,49.1,147995,209,7794,146428,431,1599,25711,-3235,54741,31662,17223,764,2479,156332,4267,216,1025,1144,6624,9058,1547,11235,16,506003,4826
U1523,B,3,F,2,100,49.12,140259,240,6588,128963,455,1707,24713,-1024,50706,30307,15997,811,2310,149668,4312,307,873,1162,6620,8372,1561,10401,511,514384,4787
U1523,B,3,F,2,102,49.14,146053,185,6895,130954,430,1964,30996,-2946,52943,31791,16724,714,2181,154964,4180,245,994,1084,6995,9502,1693,11258,297,210111,1770
U1523,B,3,F,2,104,49.16,144952,115,7311,137342,505,1709,25931,-1892,53488,30538,17067,941,2420,154293,4364,294,952,1146,6995,8793,1743,10927,2,512005,4437
U1523,B,3,F,2,106,49.18,140660,181,6388,128663,389,1548,25678,-1371,51603,30516,15943,587,2045,147389,4226,295,922,1085,6552,8565,1700,11055,196,210143,1787
U1523,B,3,F,2,108,49.2,145320,148,7647,142736,455,1341,24244,-1911,54606,31039,17333,926,2431,152666,4348,241,1037,1100,6884,8784,1411,11444,-128,508585,4819
U1523,B,3,F,2,110,49.22,137299,174,6614,130277,325,1231,19724,-331,51615,30319,15677,783,2365,145441,4193,289,912,1016,6542,8443,1505,10050,166,211816,1504
U1523,B,3,F,2,112,49.24,136220,162,6243,125110,495,1410,21714,41,50322,28525,15937,786,2388,145366,4230,276,932,1029,6657,8393,1743,11182,134,507955,4654
U1523,B,3,F,2,114,49.26,141699,148,6939,133690,409,1347,23042,-1022,52322,29781,16521,501,2146,151882,4252,256,1010,1133,6790,7947,1476,9820,-649,210187,1685
U1523,B,3,F,2,118,49.3,137412,144,6597,129446,374,1190,21149,-219,50627,29737,15897,790,2198,145938,4295,293,886,993,6642,8047,1450,10768,25,89415,2650
U1523,B,3,F,2,122,49.34,143948,145,7394,139869,505,1125,21868,-954,53390,30342,16936,606,2442,156351,4306,284,1047,1018,6925,9024,1529,10419,127,504930,4619
U1523,B,3,F,2,124,49.36,146411,126,7655,147202,532,1291,22414,-1853,54417,32420,17086,653,2565,157668,4257,221,915,1052,6599,8190,1588,10286,114,505456,4869
U1523,B,3,F,2,126,49.38,146401,186,7576,145801,484,1326,22863,-1781,55129,32537,16627,1078,2376,156433,4247,267,987,1071,6596,8149,1737,10069,222,500481,4923
U1523,B,3,F,2,128,49.4,152643,228,8750,160197,459,1605,24111,-3643,57891,35545,16671,702,2372,163980,4296,249,920,1108,6758,8114,1817,10507,-99,202130,1739
U1523,B,3,F,2,130,49.42,125206,167,6347,120048,339,1229,19194,-1534,44793,28535,13169,657,1886,129126,4290,257,835,906,6081,7552,1475,9678,251,210871,1608
U1523,B,5,F,1,2,56.12,137429,138,5682,119826,379,2003,28776,-1288,47444,29940,15286,673,2310,141523,4131,203,907,1245,6579,9183,1487,11702,-159,183309,3082
U1523,B,5,F,1,44,56.54,123870,78,3671,111779,359,1425,31798,-166,33976,19840,11831,538,1457,115615,4383,267,893,1697,4993,6552,1195,7347,34,212314,1321
U1523,B,5,F,1,52,56.62,132704,152,4335,134388,277,2071,30471,-616,35464,21339,12435,554,1866,124626,4331,251,920,1831,5036,6224,1229,7235,249,208968,1284
U1523,B,5,F,1,54,56.64,132870,105,4337,126272,383,2111,30971,-948,37498,23412,12978,587,1601,128586,4407,301,930,1869,5294,6647,1241,7297,-119,211982,1283
U1523,B,5,F,1,56,56.66,135442,162,4227,131541,404,3278,32293,-1485,35747,24539,12663,733,2156,131405,4520,230,959,1942,4949,6419,1409,7220,469,508606,3860
U1523,B,5,F,1,58,56.68,134138,73,4016,132023,330,2877,35448,-1203,34443,24247,11908,864,1867,123023,4522,286,934,2027,4854,6251,1240,7009,-115,212469,1350
U1523,B,5,F,1,60,56.7,134784,150,3277,111065,289,5443,40237,-1635,33251,22242,12073,723,1859,137785,4418,283,946,1888,4652,6133,1465,7187,46,208014,1288
U1523,B,5,F,1,62,56.72,132031,129,4400,121877,337,2304,30370,-650,37675,23662,12735,774,1835,127041,4444,304,1027,1862,5250,6650,1222,7715,70,209164,1417
U1523,B,5,F,1,64,56.74,128546,65,3269,101493,169,2581,36239,81,35230,22616,12637,728,1565,126607,4227,310,843,1910,5099,6475,1259,7898,135,216446,1439
U1523,B,5,F,1,66,56.76,128201,101,2837,98684,186,2552,40335,-725,33310,20783,11902,648,1570,124189,4331,270,844,1986,5020,6194,1269,7327,-154,210598,1179
U1523,B,5,F,1,68,56.78,133710,108,4157,129277,291,2332,32697,-1293,35473,21069,12272,942,1736,126623,4297,247,869,1971,5100,6308,1350,7330,106,214457,1372
U1523,B,5,F,1,70,56.8,133146,109,3326,108688,222,2833,42934,-1899,34010,21641,12357,937,1760,127891,4405,301,942,2038,5203,6561,1414,7396,281,211775,1417
U1523,B,5,F,1,72,56.82,140795,166,4244,126603,358,3528,39065,-2372,38154,27269,13434,651,2027,139969,4403,359,959,2040,5577,6947,1311,8445,301,213507,1449
U1523,B,5,F,1,74,56.84,141546,211,4511,137019,297,3239,38428,-2793,37717,28093,13219,847,1939,134998,4505,335,983,1987,5286,6834,1379,7548,218,216979,1340
U1523,B,5,F,1,76,56.86,139652,114,4755,133693,325,3290,36441,-2670,37948,27004,13748,877,1892,136412,4204,267,877,1815,5344,7040,1332,7861,43,211335,1532
U1523,B,5,F,1,78,56.88,130101,94,4172,116666,298,2644,31967,-1288,35635,26221,12052,870,1696,125239,4479,284,947,1803,5383,7178,1110,7772,44,212233,1343
U1523,B,5,F,1,80,56.9,138856,123,4233,122953,311,3069,36497,-1708,38661,27641,13644,639,1900,136384,4308,246,922,1955,5155,7020,1417,7919,-35,211511,1464
U1523,B,5,F,1,82,56.92,136314,60,3740,115999,286,3078,38361,-1498,37276,27556,12574,843,2150,133401,4451,240,959,1773,5380,7341,1227,8169,78,217107,1431
