 Spectrum , Sample , Throughput , Mg-Ka Area , Mg-Ka AreaStd , Al-Ka Area , Al-Ka AreaStd , Si-Ka Area , Si-Ka AreaStd , P -Ka Area , P -Ka AreaStd , S -Ka Area , S -Ka AreaStd , Cl-Ka Area , Cl-Ka AreaStd , Ar-Ka Area , Ar-Ka AreaStd , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Cr-Ka Area , Cr-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Rh-La-Coh Area , Rh-La-Coh AreaStd 
374-U1524A-1H-1-A_SHLF9353571 X  20.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,20,1.78E+05,215,44,10048,116,104373,327,558,62,3059,101,60700,394,-5551,190,72293,308,29715,231,26988,223,1049,171,8366,205,249493,531,46589,305
374-U1524A-1H-1-A_SHLF9353571 X  40.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,40,1.67E+05,203,41,9014,110,90215,304,332,59,2750,98,64346,317,-4864,159,64212,291,23607,211,23738,212,1309,166,14948,216,233723,505,43978,215
374-U1524A-1H-1-A_SHLF9353571 X  60.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,60,1.73E+05,192,42,10652,118,108370,332,601,62,2463,95,55126,300,-5000,157,72557,304,26428,220,25196,216,1225,166,19031,227,239700,510,42963,210
374-U1524A-1H-1-A_SHLF9353571 X  80.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,80,1.70E+05,234,40,9763,113,100551,320,502,60,2519,96,62417,313,-5257,159,69463,300,27537,222,24792,216,882,166,11431,209,232359,504,43778,214
374-U1524A-1H-1-A_SHLF9353571 X 100.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,100,1.74E+05,257,42,11733,123,116646,345,610,63,2353,95,52172,367,-5289,182,75422,310,28399,224,25852,218,824,166,6833,197,245193,524,44009,290
374-U1524A-1H-1-A_SHLF9353571 X 120.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,120,1.68E+05,215,44,12451,127,120801,351,633,63,2141,92,45552,280,-5070,152,73399,304,27637,219,25282,214,989,163,11290,205,232907,502,40935,202
374-U1524A-1H-1-A_SHLF9353571 X 140.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,140,1.61E+05,183,43,11163,121,112406,338,628,61,2113,92,47723,285,-4673,154,68894,296,26269,215,23799,209,1331,160,8604,195,219454,488,41976,204
374-U1524A-1H-1-A_SHLF9353571 X 160.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,160,1.75E+05,239,45,13694,132,135672,371,725,64,2089,92,43743,278,-5312,152,78459,313,29163,225,26723,218,900,163,11657,207,238390,508,42658,203
374-U1524A-1H-1-A_SHLF9353571 X 180.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,180,1.78E+05,227,45,13639,132,133493,368,559,65,1834,93,44705,281,-5210,155,79934,316,28912,225,27122,219,1332,166,9801,204,247509,517,42561,205
374-U1524A-1H-1-A_SHLF9353571 X 200.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,200,1.80E+05,274,46,14287,135,137487,374,809,66,1718,92,42703,277,-5137,155,80915,317,28680,223,27845,222,1169,165,6538,194,258688,526,43375,205
374-U1524A-1H-1-A_SHLF9353571 X 220.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,220,1.83E+05,362,45,14947,137,143559,382,911,66,1810,91,42006,340,-5281,183,81865,322,29990,229,28279,224,1229,167,14145,217,258064,537,43099,280
