 Spectrum , Sample , Throughput , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Co-Ka Area , Co-Ka AreaStd , Ni-Ka Area , Ni-Ka AreaStd , Cu-Ka Area , Cu-Ka AreaStd , Zn-Ka Area , Zn-Ka AreaStd , Ga-Ka Area , Ga-Ka AreaStd , As-Ka Area , As-Ka AreaStd , Br-Ka Area , Br-Ka AreaStd , Rb-Ka Area , Rb-Ka AreaStd , Sr-Ka Area , Sr-Ka AreaStd , Y -Ka Area , Y -Ka AreaStd , Zr-Ka Area , Zr-Ka AreaStd , Nb-Ka Area , Nb-Ka AreaStd , Mo-Ka Area , Mo-Ka AreaStd , Rh-Ka-Inc Area , Rh-Ka-Inc AreaStd , Rh-Ka-Coh Area , Rh-Ka-Coh AreaStd 
363-U1487A-3H-3-A_SHLF8287801 X  20.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,20,1.49E+05,657,40,78116,266,314,33,1737,51,27832,164,218,45,4749,74,234,31,331,32,44,25,164,27,2138,56,354,56,51621,237,265,80,1690,141,49,133,252,172,48199,557,29953,329
363-U1487A-3H-3-A_SHLF8287801 X  40.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,40,1.47E+05,704,37,74913,260,384,34,1817,52,29144,168,151,45,4735,74,287,32,356,32,70,25,95,27,1996,55,366,56,51635,237,316,80,1448,141,111,133,146,171,47957,555,30303,328
363-U1487A-3H-3-A_SHLF8287801 X  60.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,60,1.40E+05,599,36,78759,267,288,32,1415,47,32113,175,332,48,4758,74,200,30,313,31,100,25,89,27,1725,52,282,53,47139,226,183,75,1513,136,198,129,368,166,44361,534,28813,319
363-U1487A-3H-3-A_SHLF8287801 X  80.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,80,1.44E+05,683,39,76013,263,324,33,2016,53,27423,163,189,45,4738,74,282,31,405,32,65,23,93,25,1902,53,370,57,51365,236,353,79,1475,140,41,131,187,168,46807,542,29538,324
363-U1487A-3H-3-A_SHLF8287801 X 100.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,100,1.44E+05,727,38,78923,267,406,33,1892,50,26851,161,230,45,4753,74,238,31,421,33,69,25,43,26,1815,53,467,54,50944,234,256,77,1652,138,359,131,556,168,46369,542,29617,324
363-U1487A-3H-3-A_SHLF8287801 X 120.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,120,1.46E+05,648,38,77735,266,341,33,1828,51,27303,162,224,44,4695,73,249,32,356,32,75,25,44,26,1951,55,439,55,52369,238,243,79,1702,141,69,131,194,170,46266,539,29610,326
363-U1487A-3H-3-A_SHLF8287801 X 140.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,140,1.44E+05,622,38,79417,268,372,33,1768,50,27089,162,232,44,4709,74,212,31,404,32,42,24,75,26,1938,53,396,53,51240,235,236,78,1658,140,157,130,117,168,47068,544,30196,324
363-U1487A-3H-3-A_SHLF8287801 X 160.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,160,1.43E+05,645,38,75709,262,301,33,1740,51,30747,172,284,48,4688,74,256,32,333,32,49,25,146,28,1952,54,399,53,50873,234,315,77,1753,139,20,130,302,168,46510,539,29796,324
363-U1487A-3H-3-A_SHLF8287801 X 180.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,180,1.43E+05,549,38,79247,268,327,33,1890,51,29161,167,217,45,4776,74,260,31,382,31,21,23,100,27,1952,54,285,53,50436,233,153,77,1359,138,87,128,570,167,46529,539,28696,320
363-U1487A-3H-3-A_SHLF8287801 X 200.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,200,1.41E+05,655,38,75436,261,344,32,1707,50,29754,169,256,47,4722,74,266,32,391,31,86,25,140,27,1982,54,318,55,49641,232,164,76,1359,137,216,129,56,166,46625,537,29236,320
363-U1487A-3H-3-A_SHLF8287801 X 220.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,220,1.41E+05,628,37,80818,270,359,33,1728,51,31142,173,316,46,4767,74,219,31,304,31,40,25,89,25,1788,53,336,53,49064,231,379,77,1643,136,221,129,212,165,44271,532,27810,318
363-U1487A-3H-3-A_SHLF8287801 X 240.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,240,1.44E+05,693,36,78447,266,364,33,1857,51,29791,169,308,47,4833,74,242,31,385,32,51,25,129,27,1993,55,350,55,51076,235,259,77,1383,139,199,130,20,168,46318,542,28973,322
363-U1487A-3H-3-A_SHLF8287801 X 260.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,260,1.45E+05,677,38,76096,262,417,33,1771,52,31946,175,252,47,4854,74,271,31,356,32,33,24,80,26,2075,56,428,55,50274,233,315,78,1577,138,288,130,533,169,47648,549,29855,325
363-U1487A-3H-3-A_SHLF8287801 X 280.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,280,1.47E+05,777,36,76633,263,429,34,1895,53,31474,174,257,47,4833,74,262,31,418,32,95,24,83,26,1998,55,367,56,51628,236,290,78,1726,140,117,132,139,170,46824,546,29548,327
363-U1487A-3H-3-A_SHLF8287801 X 300.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,300,1.48E+05,752,39,75192,261,413,35,1935,53,38563,192,328,50,4885,75,271,31,411,33,26,25,121,28,2064,55,386,56,50467,234,312,79,1569,140,37,131,69,169,47689,548,30013,327
363-U1487A-3H-3-A_SHLF8287801 X 320.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,320,1.48E+05,792,39,71959,255,413,34,2036,54,39509,194,322,51,4770,74,233,30,383,32,38,25,93,27,1927,54,544,57,50361,234,143,78,1773,140,383,133,276,170,47746,550,29763,328
363-U1487A-3H-3-A_SHLF8287801 X 340.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,340,1.47E+05,702,38,75862,262,398,34,2031,54,31950,176,233,48,4707,74,267,32,379,33,45,25,128,27,1976,54,429,56,51812,237,328,79,1582,141,37,133,257,169,47918,549,29553,327
363-U1487A-3H-3-A_SHLF8287801 X 360.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,360,1.46E+05,745,39,74666,260,452,35,2083,54,33188,179,332,49,4795,75,187,31,350,32,70,25,64,27,1878,54,454,55,50959,235,336,80,1858,141,137,132,585,171,47156,550,29485,325
363-U1487A-3H-3-A_SHLF8287801 X 380.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,380,1.47E+05,740,40,72882,258,409,35,2266,56,35967,186,319,50,4880,75,264,32,367,32,67,25,65,26,2010,55,517,56,51015,235,299,79,1846,141,286,131,97,171,46758,550,29355,327
363-U1487A-3H-3-A_SHLF8287801 X 400.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,400,1.45E+05,649,38,73353,258,477,35,2202,56,36351,187,278,49,4849,75,262,31,348,31,48,24,104,26,1848,53,516,57,50401,234,241,79,1880,140,150,130,238,169,47152,546,29060,323
363-U1487A-3H-3-A_SHLF8287801 X 420.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,420,1.45E+05,709,37,71788,255,460,35,1943,53,38139,191,235,50,4773,75,210,31,355,31,64,24,82,26,1792,53,515,55,48370,230,453,80,2123,140,139,131,154,169,47419,538,28725,323
363-U1487A-3H-3-A_SHLF8287801 X 440.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,440,1.45E+05,673,37,75479,261,418,35,1937,53,31207,174,223,47,4684,74,306,32,306,31,50,26,86,27,1916,53,371,55,50116,233,330,79,1621,140,64,132,356,169,47860,546,29875,325
363-U1487A-3H-3-A_SHLF8287801 X 460.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,460,1.46E+05,674,38,68527,250,566,37,2034,54,39876,196,278,52,4568,74,210,31,412,33,48,25,84,27,1864,54,499,56,47099,227,301,79,1814,139,269,133,384,171,48503,545,29248,325
363-U1487A-3H-3-A_SHLF8287801 X 480.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,480,1.44E+05,679,37,65720,244,609,37,1991,53,44407,205,377,53,4798,75,226,32,392,33,63,25,110,27,2042,55,507,55,45692,224,211,78,2291,140,249,132,47,169,47805,546,28360,322
363-U1487A-3H-3-A_SHLF8287801 X 520.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,520,1.38E+05,720,35,74838,259,512,34,1799,50,33277,178,255,47,4648,73,235,31,311,31,79,25,142,27,1740,52,360,53,45692,223,356,77,1778,136,122,128,278,165,44979,529,27960,315
363-U1487A-3H-3-A_SHLF8287801 X 540.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,540,1.47E+05,713,38,66200,245,679,38,1822,53,45337,208,510,54,4839,74,281,32,400,33,26,25,91,27,2023,55,485,56,47831,229,410,79,2196,142,85,133,6,171,47882,551,28956,326
363-U1487A-3H-3-A_SHLF8287801 X 560.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,560,1.51E+05,604,39,71555,255,689,40,2018,54,42466,201,285,52,4747,75,223,31,452,33,88,25,109,27,2052,55,348,56,49156,231,415,80,2389,144,81,134,500,172,48482,555,29169,330
363-U1487A-3H-3-A_SHLF8287801 X 580.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,580,1.46E+05,633,37,80563,270,491,36,1636,49,35889,185,280,48,4686,74,205,31,336,31,51,25,145,28,1813,53,337,54,47909,229,371,78,2100,140,175,131,241,168,46050,543,29827,324
363-U1487A-3H-3-A_SHLF8287801 X 600.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,600,1.48E+05,674,37,73597,258,607,37,1960,52,37146,188,320,50,4697,74,266,32,430,33,41,25,74,27,1877,54,306,55,49568,232,499,79,2199,141,373,132,270,170,47654,551,29970,328
363-U1487A-3H-3-A_SHLF8287801 X 620.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,620,1.50E+05,635,39,67617,248,589,38,1880,52,44392,205,432,54,4790,75,297,33,382,33,71,25,107,28,2035,55,570,56,49336,232,399,81,2442,144,365,135,201,172,48447,559,30025,330
363-U1487A-3H-3-A_SHLF8287801 X 640.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,640,1.49E+05,754,36,71601,254,655,38,1596,50,43957,204,370,53,4803,75,249,32,380,33,87,27,88,27,1950,54,379,56,47687,228,422,80,2495,143,176,134,181,171,47474,550,29137,328
