FileName,Site,Hole,Core,Core Type,Section,Interval (cm),Depth (CSF-A),Depth (CCSF),Core_ID , Section_ID , Depth , LiveTime , RealTime , MeasurementDate , MeasurementTime , Sample_ID , User_ID,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ba_Area
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1   40.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,4,4.54,6.06,0,0,40,15,18,10/26/2015 9:29,,40,,1091,57916,-5494,-1275,122914,-41431,5356,1068409,15132,23,493,196162,96908,-2954
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1   60.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,6,4.56,6.08,0,0,60,15,18,10/26/2015 9:30,,60,,1347,58912,-4919,-1701,122886,-33351,8569,1102856,15112,312,708,199787,72625,-2697
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1   80.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,8,4.58,6.1,0,0,80,15,18,10/26/2015 9:30,,80,,1157,56054,-4769,-2886,108481,-43674,4111,1232058,11516,-134,218,171930,84549,-2416
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1  100.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,10,4.6,6.12,0,0,100,15,18,10/26/2015 9:31,,100,,2030,52053,-4930,59,167125,-4980,14811,880959,16902,464,730,216431,40358,-3477
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1  120.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,12,4.62,6.14,0,0,120,15,18,10/26/2015 9:31,,120,,3593,71832,-4813,-1456,135983,-30574,21316,1034775,14682,1,237,253888,61906,-2847
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1  140.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,14,4.64,6.16,0,0,140,15,18,10/26/2015 9:32,,140,,4554,79857,-3252,-1144,125653,-24099,31021,816002,17325,816,829,291642,50933,-3270
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1  160.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,16,4.66,6.18,0,0,160,15,18,10/26/2015 9:32,,160,,4617,75058,-3674,-314,140958,-11552,29856,804724,16328,365,469,290286,42734,-3290
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1  180.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,18,4.68,6.2,0,0,180,15,18,10/26/2015 9:33,,180,,4501,81650,-3767,-1567,116974,-30503,27565,932755,17841,1034,131,290417,66603,-3216
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1  200.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,20,4.7,6.22,0,0,200,15,19,10/26/2015 9:33,,200,,4380,89894,-3809,-2255,92054,-47165,21126,1124719,17305,297,743,255673,84000,-3787
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1  220.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,22,4.72,6.24,0,0,220,15,19,10/26/2015 9:34,,220,,3116,67597,-5915,-2171,104282,-45755,13769,1263719,10427,-197,179,249132,90000,-1882
C:\_XRF Data\__Kulhanek_Oct_2015\U1456A-2H-1\Run 1 at  10kV\U1456A-2H-1  240.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,A,2,H,1,24,4.74,6.26,0,0,240,15,19,10/26/2015 9:34,,240,,3876,78257,-4816,-2150,107701,-36265,20516,1200765,14404,-285,540,261235,80729,-2693
