Site,Hole,Core,Core Type,Section,Interval (cm),Ca,Al,Ti,Fe,P,Ar,Mn,K,Cl,S,Si,Ba,Rh,Cr,Zn,Ga,Ni,Sr,Mo,Y,Cu,Nb,Zr,Br,Bi,Pb,Rb,Al/K,ln(Al/K),predicted_ln(Al/K),predicted_Al/K,Ba/K,ln(Ba/K),predicted_ln(Ba/K),predicted_Ba/K,Br/K,ln(Br/K),predicted_ln(Br/K),predicted_Br/K,Ca/K,ln(Ca/K),predicted_ln(Ca/K),predicted_Ca/K
U1456,A,2,H,1,4,1068409,1091,15132,196162,-5494,-41431,493,5356,122914,-1275,57916,-2954,96908,23,155,59,629,98044,14,-781,50,9,5385,951,43,118,880,-1.5911227209779923,-1.5911227209779923,1.125328346146827,3.081228392310865,-0.5950572437197379,-0.5950572437197379,-4.276400092908458,0.01389258418744001,-1.7284586442656726,-1.7284586442656726,-4.858901741564996,0.007759000601363866,5.295708477182706,5.295708477182706,3.3928985330140304,29.752064752063276
U1456,A,2,H,1,6,1102856,1347,15112,199787,-4919,-33351,708,8569,122886,-1701,58912,-2697,72625,312,319,97,606,86826,86,-303,74,154,5450,1020,24,115,737,-1.8502711422587548,-1.8502711422587548,1.0875634292473042,2.967035865130651,-1.1560109955293887,-1.1560109955293887,-4.243600442560404,0.01435581140842451,-2.128348412390802,-2.128348412390802,-4.9991624927057075,0.0067435924425658204,4.85750741800656,4.85750741800656,3.178414279933748,24.008652349333442
U1456,A,2,H,1,8,1232058,1157,11516,171930,-4769,-43674,218,4111,108481,-2886,56054,-2416,84549,-134,283,79,601,107874,-68,-626,63,1,6498,1082,40,105,775,-1.2678358597042019,-1.2678358597042019,1.172439964231836,3.229863784073522,-0.5315530278431729,-0.5315530278431729,-4.2801132618990545,0.013841094329068887,-1.3348551274914515,-1.3348551274914515,-4.72084588388898,0.008907640531131206,5.702774912991671,5.702774912991671,3.5921434654719473,36.31182571435759
U1456,A,2,H,1,10,880959,2030,16902,216431,-4930,-4980,730,14811,167125,59,52053,-3477,40358,464,241,55,596,69949,299,-317,37,342,5644,1076,8,100,1019,-1.9873343548911395,-1.9873343548911395,1.0675896211513032,2.908360793163732,-1.4492002949191112,-1.4492002949191112,-4.226457306473427,0.014604036637324484,-2.622119686205243,-2.622119686205243,-5.172352044620544,0.00567121417122884,4.0856409388834445,4.0856409388834445,2.800612351376837,16.454719756977557
U1456,A,2,H,1,12,1034775,3593,14682,253888,-4813,-30574,237,21316,135983,-1456,71832,-2847,61906,1,278,76,685,88006,130,-585,86,-11,4915,1211,82,62,1082,-1.7804704563031541,-1.7804704563031541,1.0977352724389982,2.9973701047116568,-2.0131921561386354,-2.0131921561386354,-4.1934800141610555,0.015093667195435187,-2.868011499863581,-2.868011499863581,-5.258598238527357,0.0052025924033029785,3.882481326327671,3.882481326327671,2.701172752036232,14.897192196952673
U1456,A,2,H,1,14,816002,4554,17325,291642,-3252,-24099,829,31021,125653,-1144,79857,-3270,50933,816,346,88,592,39781,218,32,72,126,3807,1173,37,105,1477,-1.9186584268535152,-1.9186584268535152,1.077597556767969,2.93761361675915,-2.249874409585901,-2.249874409585901,-4.179640914000631,0.015304002033037894,-3.275099824823725,-3.275099824823725,-5.401383872946632,0.004510334891302447,3.2697524114464325,3.2697524114464325,2.4012631536977977,11.037109144406777
U1456,A,2,H,1,16,804724,4617,16328,290286,-3674,-11552,469,29856,140958,-314,75058,-3290,42734,365,387,66,671,42634,300,44,79,282,3979,1158,29,99,1513,-1.8666406811400815,-1.8666406811400815,1.085177945776166,2.9599664854127195,-2.2054982598876527,-2.2054982598876527,-4.182235641621579,0.015264343789671739,-3.24969144551413,-3.24969144551413,-5.392471921075644,0.0045507104239495425,3.294113536821825,3.294113536821825,2.413187081472321,11.169502593005085
U1456,A,2,H,1,18,932755,4501,17841,290417,-3767,-30503,131,27565,116974,-1567,81650,-3216,66603,1034,347,52,631,54530,213,-125,110,260,4634,1210,20,113,1457,-1.8122472577308513,-1.8122472577308513,1.0931045351212916,2.9835221589583334,-2.148408500724927,-2.148408500724927,-4.185573749501153,0.015213474713858326,-3.1259264924329973,-3.1259264924329973,-5.349061544847606,0.004752609017679143,3.5215957205384183,3.5215957205384183,2.524531737633712,12.485047616656965
U1456,A,2,H,1,20,1124719,4380,17305,255673,-3809,-47165,743,21126,92054,-2255,89894,-3787,84000,297,269,76,640,81128,176,-370,36,107,5597,994,16,147,1118,-1.5734557850126156,-1.5734557850126156,1.1279028953773578,3.0891713869253334,-1.7189303604813126,-1.7189303604813126,-4.210685860413467,0.014836189292861087,-3.0565225817265333,-3.0565225817265333,-5.324718224703577,0.004869722988565048,3.9747839962601077,3.9747839962601077,2.7463517145312,15.58566707272165
U1456,A,2,H,1,22,1263719,3116,10427,249132,-5915,-45755,179,13769,104282,-2171,67597,-1882,90000,-197,242,85,630,105580,-40,-655,72,-78,4455,1400,15,149,1162,-1.4858695604537335,-1.4858695604537335,1.1406665714038677,3.128853274358127,-1.9900846472990474,-1.9900846472990474,-4.194831138398852,0.015073287546669218,-2.2859474518410225,-2.2859474518410225,-5.054440125229242,0.00638093828879673,4.519394551403426,4.519394551403426,3.0129197332374216,20.34672027876606
